name,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
A Ward,37,153,83,164,1,2,19,31,0.5568181818181818,0.6030534351145038,0.2885375494071146,0.4019607843137255,-0.06623525329632206,-0.07342323490661087,-0.06982924410146646
A Golubev,146,434,225,456,15,32,53,90,0.5197841726618705,0.5947368421052631,0.3408239700374532,0.4166666666666667,-0.09495266944339263,-0.0358426966292135,-0.06539768303630307
R Schuettler,36,134,74,153,1,2,20,33,0.5454545454545454,0.6015037593984962,0.3076923076923077,0.4019607843137255,-0.0760492139439508,-0.054268476621417795,-0.0651588452826843
O Rochus,72,323,198,357,3,10,26,47,0.5733041575492341,0.5850340136054422,0.2553191489361702,0.39090909090909093,-0.031729856056208025,-0.09558994197292073,-0.06365989901456437
T De Bakker,116,426,280,480,7,19,46,70,0.593103448275862,0.6235294117647059,0.2889733840304182,0.3949579831932773,-0.05042596348884386,-0.06598459916285906,-0.05820528132585146
F Ferreira Silva,12,63,52,98,2,2,13,21,0.5858585858585859,0.6033057851239669,0.294478527607362,0.4117647058823529,-0.03744719926538108,-0.07728617827499093,-0.057366688770186004
D Tursunov,410,1360,914,1484,34,81,108,159,0.6174242424242424,0.6486486486486487,0.30547945205479454,0.4088397790055249,-0.05122440622440626,-0.06336032695073032,-0.05729236658756829
M Krueger,62,219,149,271,7,13,23,39,0.5741239892183289,0.5971223021582733,0.3072100313479624,0.415929203539823,-0.04299831293994448,-0.0687191721918606,-0.05585874256590254
G Rufin,211,725,480,820,20,47,66,106,0.591304347826087,0.6116504854368932,0.2993939393939394,0.40816326530612246,-0.040346137610806174,-0.06876932591218307,-0.05455773176149462
G Mager,213,704,486,790,27,53,63,101,0.6179775280898876,0.6119402985074627,0.30970149253731344,0.43790849673202614,-0.013962770417575081,-0.0882070041947127,-0.05108488730614389
J Draper,13,78,51,91,1,3,9,15,0.6020942408376964,0.6,0.2752808988764045,0.39805825242718446,-0.01790575916230362,-0.08277735355077995,-0.050341556356541785
C Ilkel,20,86,50,95,1,4,11,17,0.5846153846153846,0.6068376068376068,0.3010752688172043,0.3942307692307692,-0.04222222222222215,-0.053155500413564906,-0.04768886131789353
B Schnur,41,144,88,165,2,8,20,30,0.5735849056603773,0.6153846153846154,0.3155737704918033,0.3888888888888889,-0.06179970972423808,-0.0333151183970856,-0.04755741406066184
R Ginepri,73,238,150,266,6,13,24,37,0.5846994535519126,0.6131386861313869,0.3224852071005917,0.40707964601769914,-0.04843923257947434,-0.04459443891710744,-0.046516835748290894
C Lindell,12,62,30,62,0,1,7,13,0.5802469135802469,0.5929203539823009,0.2962962962962963,0.39603960396039606,-0.032673440402053985,-0.05974330766409978,-0.046208374033076885
M Willis,53,147,105,189,5,11,26,32,0.5847750865051903,0.6515151515151515,0.3603238866396761,0.40540540540540543,-0.08674006500996122,-0.0050815187657292996,-0.04591079188784526
B Reynolds,54,192,126,225,1,11,23,31,0.5846153846153846,0.6335877862595419,0.3082191780821918,0.36936936936936937,-0.06897240164415729,-0.02115019128717758,-0.045061296465667436
L Saville,187,596,351,607,13,29,46,75,0.5869872701555869,0.6057142857142858,0.3204022988505747,0.4108527131782946,-0.03872701555869883,-0.050450414327719885,-0.04458871494320936
S Greul,35,95,50,106,5,10,15,22,0.5533980582524272,0.6147540983606558,0.3641025641025641,0.4090909090909091,-0.0813560401082286,-0.0049883449883450295,-0.04317219254828682
S Riffice,18,81,48,86,1,1,6,10,0.6021505376344086,0.6,0.2983425414364641,0.40594059405940597,-0.017849462365591356,-0.06759805262294186,-0.04272375749426661
R Sweeting,107,376,236,422,6,15,28,52,0.5747126436781609,0.5789473684210527,0.3004201680672269,0.4,-0.02423472474289177,-0.05957983193277314,-0.041907278337832456
D Brands,315,1124,755,1172,17,45,74,109,0.6438679245283019,0.6411483253588517,0.2867647058823529,0.3931034482758621,-0.017280400830549807,-0.06633874239350915,-0.04180957161202948
R Mello,116,347,208,356,6,14,35,50,0.5964912280701754,0.6333333333333333,0.3400447427293065,0.40350877192982454,-0.0568421052631579,-0.023464029200518023,-0.040153067231837966
G Jones,24,87,56,103,4,5,10,18,0.5911330049261084,0.5932203389830508,0.32085561497326204,0.41904761904761906,-0.022087334056942392,-0.05819200407435702,-0.040139669065649704
G Andreozzi,277,906,547,923,19,49,67,108,0.5972629521016618,0.6105769230769231,0.3111332007952286,0.3959731543624161,-0.03331397097526133,-0.044839953567187486,-0.03907696227122441
R Molleker,56,207,128,232,4,11,13,26,0.5783132530120482,0.5793650793650794,0.2996742671009772,0.3963963963963964,-0.02105182635303125,-0.05672212929541918,-0.03888697782422521
M Berrer,198,645,413,705,16,40,54,89,0.5925465838509317,0.6031746031746031,0.31409395973154364,0.4,-0.030628019323671412,-0.045906040268456384,-0.038267029796063896
B Klein,62,242,143,246,1,5,15,27,0.5982658959537572,0.5905511811023622,0.28654970760233917,0.3904761904761905,-0.012285285148604923,-0.0639264828738513,-0.038105884011228115
C Hemery,16,65,25,56,0,1,5,11,0.5705128205128205,0.5855855855855856,0.3151515151515151,0.39603960396039606,-0.03507276507276512,-0.04088808880888093,-0.03798042694082303
M Marterer,404,1307,917,1411,42,89,71,110,0.6492389146260754,0.6238095238095238,0.31272210376687987,0.43386243386243384,0.0054293908165516,-0.08114033009555396,-0.037855469639501184
D Brown,622,2052,1359,2176,45,110,129,204,0.625219683655536,0.6217105263157895,0.30576208178438663,0.40476190476190477,-0.01649084266025345,-0.058999822977518136,-0.03774533281888579
A Kudryavtsev,100,321,173,308,6,16,26,43,0.5808823529411765,0.6013986013986014,0.32304038004750596,0.39655172413793105,-0.04051624845742484,-0.03351134409042509,-0.03701379627392497
A Cazaux,43,119,73,132,8,17,20,26,0.5905172413793104,0.6349206349206349,0.3607305936073059,0.41025641025641024,-0.0644033935413245,-0.009525816649104325,-0.03696460509521442
M Przysiezny,149,457,257,465,9,26,41,67,0.5681415929203539,0.6047904191616766,0.33213644524236985,0.3888888888888889,-0.05664882624132271,-0.016752443646519045,-0.03670063494392088
T Griekspoor,103,356,220,376,6,17,32,53,0.5966386554621849,0.6013071895424836,0.3048245614035088,0.39316239316239315,-0.02466853408029877,-0.04833783175888438,-0.03650318291959157
M Jaziri,750,2203,1301,2261,65,171,199,315,0.5781448538754765,0.6240963855421687,0.34129396439426835,0.3874538745387454,-0.0659515316666922,-0.006159910144477067,-0.036055720905584634
T Lamasine,17,70,40,75,0,2,9,14,0.5942857142857143,0.6052631578947368,0.31176470588235294,0.39215686274509803,-0.03097744360902253,-0.04039215686274509,-0.03568480023588381
B Rola,92,273,146,278,9,19,25,47,0.5555555555555556,0.5782312925170068,0.34316353887399464,0.4117647058823529,-0.0426757369614512,-0.028601167008358276,-0.03563845198490474
B Bonzi,273,786,465,788,34,72,65,107,0.5957207207207207,0.6038647342995169,0.34875846501128666,0.43023255813953487,-0.02814401357879624,-0.041474093128248214,-0.034809053353522225
D Junqueira,23,76,37,78,2,4,7,14,0.5674157303370787,0.5877192982456141,0.3352272727272727,0.40384615384615385,-0.040303567908535384,-0.028618881118881147,-0.03446122451370827
Z Zhang,101,342,215,356,8,19,28,45,0.6118421052631579,0.6068965517241379,0.30995475113122173,0.40336134453781514,-0.01505444646098007,-0.05340659340659341,-0.034230519933786736
T Kokkinakis,573,1784,1170,1881,46,117,130,198,0.6229177183240787,0.6375838926174496,0.3232484076433121,0.39631336405529954,-0.03466617429337092,-0.03306495641198746,-0.03386556535267919
C O'Connell,274,873,574,913,26,61,68,105,0.629812438302073,0.624390243902439,0.3186022610483042,0.40993788819875776,-0.014577805600366017,-0.05133562715045357,-0.03295671637540979
C Altamirano,15,62,30,62,0,0,5,12,0.5802469135802469,0.5803571428571429,0.3148148148148148,0.4,-0.020110229276895968,-0.045185185185185196,-0.03264770723104058
M Teixeira,140,346,191,357,18,31,31,53,0.5579868708971554,0.5947712418300654,0.39461883408071746,0.44274809160305345,-0.056784370932909986,-0.008129257522335988,-0.03245681422762299
H Gaston,252,653,386,688,38,89,82,127,0.5710659898477157,0.6255506607929515,0.38247011952191234,0.4126984126984127,-0.0744846709452358,0.00977170682349967,-0.032356482060868066
M Safwat,97,317,179,312,7,20,23,38,0.5898058252427184,0.6014492753623188,0.31894484412470026,0.39166666666666666,-0.031643450119600444,-0.03272182254196641,-0.03218263633078343
K De Schepper,273,1006,658,1057,14,41,62,102,0.6240276577355229,0.6039603960396039,0.2793851717902351,0.3829787234042553,6.726169591899159e-05,-0.06359355161402022,-0.03176314495905062
I Cervantes,84,281,179,312,5,24,30,44,0.5898058252427184,0.625,0.31496062992125984,0.3629032258064516,-0.0551941747572816,-0.007942595885191785,-0.031568385321236694
P Luczak,21,87,61,105,0,5,9,12,0.6097560975609756,0.6160714285714286,0.3048128342245989,0.38095238095238093,-0.026315331010453007,-0.036139546727782,-0.031227438869117503
M Basic,123,443,259,458,6,18,28,56,0.578853046594982,0.5641025641025641,0.292817679558011,0.3898305084745763,-0.0052495175075820515,-0.05701282891656526,-0.031131173212073655
F Serra,134,454,279,473,13,23,20,44,0.5986038394415357,0.5555555555555556,0.30685920577617326,0.43089430894308944,0.023048283885980143,-0.08403510316691618,-0.030493409640468018
M Giron,521,1599,1027,1706,64,143,123,213,0.6040974529346622,0.5846645367412141,0.32783990582695705,0.4279835390946502,-0.0005670838065518873,-0.060143633267693154,-0.03035535853712252
C Niland,6,30,7,24,0,0,1,6,0.5725806451612904,0.5754716981132075,0.3230769230769231,0.4,-0.02289105295191716,-0.036923076923076927,-0.029907064937497042
Y Maden,83,240,154,279,10,21,21,37,0.575197889182058,0.5912408759124088,0.35,0.4132231404958678,-0.036042986730350765,-0.0232231404958678,-0.029633063613109283
J McGee,40,120,68,123,2,4,11,16,0.5919282511210763,0.6120689655172413,0.34545454545454546,0.40384615384615385,-0.04014071439616505,-0.018391608391608395,-0.029266161393886724
J Levine,146,460,259,464,10,30,38,66,0.5726950354609929,0.5903614457831325,0.325,0.38461538461538464,-0.03766641032213967,-0.019615384615384625,-0.02864089746876215
E Schwank,41,156,104,181,1,6,10,19,0.597864768683274,0.5882352941176471,0.30078125,0.3867924528301887,-0.010370525434373095,-0.046011202830188704,-0.028190864132280898
P Gojowczyk,645,1838,1105,1878,67,163,151,245,0.5910010111223458,0.6115942028985507,0.35139318885448917,0.4068441064638783,-0.04059319177620489,-0.015450917609389138,-0.028022054692797015
P Riba,128,435,240,437,7,19,33,68,0.5661080074487895,0.5535714285714286,0.30654205607476637,0.3949579831932773,-0.007463421122639074,-0.04841592711851093,-0.027939674120575
P Starace,84,330,197,331,2,11,22,41,0.605568445475638,0.5815602836879432,0.27906976744186046,0.3783783783783784,0.004008161787694826,-0.05930861093651794,-0.027650224574411554
D Koepfer,743,2016,1304,2137,89,199,155,245,0.6115333035315155,0.6231884057971014,0.3681474480151229,0.431438127090301,-0.031655102265585974,-0.0232906790751781,-0.027472890670382038
J Wang,171,544,358,580,17,36,32,54,0.6205882352941177,0.5974025974025974,0.32142857142857145,0.41911764705882354,0.003185637891520283,-0.057689075630252086,-0.0272517188693659
L Giustino,108,322,183,346,16,30,26,60,0.5538116591928252,0.5375,0.3412322274881517,0.4307692307692308,-0.003688340807174822,-0.04953700328107911,-0.026612672044126963
J Vesely,1430,4450,2967,4549,131,320,255,392,0.6519681651968166,0.6402439024390244,0.3221978021978022,0.40714285714285714,-0.008275737242207853,-0.04494505494505494,-0.026610396093631396
L Lacko,744,2466,1624,2666,68,163,162,285,0.6102675343456254,0.5766233766233766,0.303975058456742,0.41064638783269963,0.013644157722248824,-0.06667132937595763,-0.026513585826854404
J Duckworth,1179,3634,2317,3791,92,258,289,444,0.6119249550244154,0.6415441176470589,0.32538832351365826,0.3687150837988827,-0.04961916262264353,-0.0033267602852244185,-0.026472961453933973
F Cerundolo,30,85,42,80,6,12,11,17,0.5888888888888889,0.6068376068376068,0.3567567567567568,0.4107142857142857,-0.03794871794871789,-0.013957528957528921,-0.025953123453123405
J Satral,22,86,58,95,1,2,8,12,0.6256410256410256,0.6071428571428571,0.3118279569892473,0.4019607843137255,-0.001501831501831457,-0.05013282732447819,-0.025817329413154823
R Jouan,19,78,40,72,1,3,4,9,0.6046511627906976,0.5871559633027523,0.3089887640449438,0.39805825242718446,-0.0025048005120546883,-0.04906948838224066,-0.02578714444714767
J Patrick Smith,55,203,137,216,3,5,13,22,0.6360759493670886,0.5983606557377049,0.30033003300330036,0.4095238095238095,0.01771529362938364,-0.06919377652050915,-0.025739241445562756
M Crugnola,18,64,35,70,1,1,4,11,0.5823529411764706,0.5765765765765766,0.32926829268292684,0.40594059405940597,-0.014223635400105943,-0.03667230137647912,-0.02544796838829253
M Vilella Martinez,64,264,190,313,4,14,17,34,0.6150121065375302,0.5746268656716418,0.27472527472527475,0.38596491228070173,0.02038524086588846,-0.07123963755542698,-0.02542719834476926
