,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
M Krueger,13,63,45,97,1,2,14,20,0.5532994923857868,0.6166666666666667,0.3006134969325153,0.4019607843137255,-0.0833671742808799,-0.06134728738121018,-0.07235723083104505
N Jarry,33,192,152,241,0,1,16,21,0.6334310850439883,0.628099173553719,0.2363013698630137,0.39603960396039606,-0.014668088509730764,-0.11973823409738235,-0.06720316130355655
A Golubev,26,91,50,112,3,4,16,26,0.5377358490566038,0.6031746031746031,0.32460732984293195,0.41346153846153844,-0.08543875411799938,-0.04885420861860649,-0.06714648136830294
D Brown,51,248,174,309,2,9,21,37,0.5819070904645477,0.5912408759124088,0.25,0.3853211009174312,-0.02933378544786112,-0.0953211009174312,-0.062327443182646165
F Ferreira Silva,12,63,52,98,2,2,13,21,0.5858585858585859,0.6033057851239669,0.294478527607362,0.4117647058823529,-0.03744719926538108,-0.07728617827499093,-0.057366688770186004
V Millot,20,71,36,82,3,4,9,17,0.5494505494505495,0.5897435897435898,0.32748538011695905,0.41346153846153844,-0.060293040293040265,-0.04597615834457939,-0.05313459931880983
C O'Connell,101,365,258,407,10,17,35,52,0.6351084812623274,0.625,0.2946236559139785,0.42735042735042733,-0.00989151873767256,-0.09272677143644883,-0.0513091450870607
M Youzhny,211,692,461,752,23,41,48,79,0.6161971830985915,0.6033519553072626,0.31186868686868685,0.44680851063829785,-0.0071547722086710945,-0.09493982376961099,-0.051047297989141045
J Hernych,37,141,67,137,2,6,12,24,0.5527426160337553,0.5806451612903226,0.3029045643153527,0.39622641509433965,-0.04790254525656733,-0.05332185077898697,-0.05061219801777715
T De Bakker,67,234,164,288,6,14,25,39,0.5876288659793815,0.6115107913669064,0.3083832335329341,0.40350877192982454,-0.043881925387524987,-0.05512553839689042,-0.049503731892207706
D Young,203,682,389,712,14,38,63,109,0.5578817733990148,0.5885167464114832,0.30562659846547313,0.391304347826087,-0.05063497301246843,-0.04567774936061384,-0.04815636118654114
L Giustino,12,59,33,68,0,1,8,14,0.5773809523809523,0.5964912280701754,0.3018867924528302,0.39603960396039606,-0.03911027568922308,-0.05415281150756588,-0.046631543598394484
A Nedovyesov,13,69,44,79,0,2,10,14,0.6033519553072626,0.6140350877192983,0.28994082840236685,0.39215686274509803,-0.030683132412035668,-0.06221603434273119,-0.046449583377383426
X Malisse,52,148,63,144,4,9,17,32,0.5204918032786885,0.5833333333333334,0.3548387096774194,0.4036697247706422,-0.08284153005464488,-0.00883101509322285,-0.04583627257393387
M Kecmanovic,104,327,195,334,11,20,31,49,0.5967741935483871,0.610738255033557,0.32786885245901637,0.425,-0.033964061485169936,-0.05713114754098362,-0.04554760451307678
G Mager,13,65,40,73,3,4,7,13,0.6011560693641619,0.5929203539823009,0.296969696969697,0.41346153846153844,-0.011764284618139036,-0.07649184149184143,-0.04412806305499024
M Basic,54,191,114,200,4,9,17,27,0.5933333333333334,0.6062992125984252,0.30927835051546393,0.4036697247706422,-0.032965879265091855,-0.054391374255178294,-0.04367862676013508
N Davydenko,59,186,105,189,4,5,15,24,0.5847750865051903,0.6048387096774194,0.3321678321678322,0.41904761904761906,-0.0400636231722291,-0.04687978687978687,-0.04347170502600799
S Greul,35,95,50,106,5,10,15,22,0.5533980582524272,0.6147540983606558,0.3641025641025641,0.4090909090909091,-0.0813560401082286,-0.0049883449883450295,-0.04317219254828682
F Volandri,49,168,96,176,4,7,14,25,0.5797101449275363,0.592,0.31716417910447764,0.411214953271028,-0.03228985507246372,-0.05405077416655039,-0.04317031461950706
A Balazs,19,85,65,116,2,5,15,25,0.5972222222222222,0.6,0.2972972972972973,0.4,-0.02277777777777777,-0.0627027027027027,-0.042740240240240236
A Haider-Maurer,42,178,134,219,5,10,12,21,0.6206896551724138,0.5950413223140496,0.2805755395683453,0.4090909090909091,0.0056483328583642085,-0.08851536952256381,-0.0414335183320998
J Hajek,47,171,93,174,1,10,18,28,0.572992700729927,0.609375,0.3062730627306273,0.37272727272727274,-0.056382299270072975,-0.02645420999664542,-0.0414182546333592
F Lopez,628,2050,1371,2159,58,136,139,216,0.6352368304559539,0.629746835443038,0.30883720930232555,0.4152542372881356,-0.014510004987084085,-0.06641702798581003,-0.04046351648644706
G Jones,24,87,56,103,4,5,10,18,0.5911330049261084,0.5932203389830508,0.32085561497326204,0.41904761904761906,-0.022087334056942392,-0.05819200407435702,-0.040139669065649704
V Estrella Burgos,122,417,260,444,11,25,29,50,0.5955882352941176,0.5933333333333334,0.3056092843326886,0.408,-0.01774509803921574,-0.06239071566731139,-0.040067906853263564
Z Zhang,58,192,110,197,5,13,21,33,0.5858585858585859,0.6090225563909775,0.3219178082191781,0.39823008849557523,-0.04316397053239161,-0.03631228027639714,-0.03973812540439438
G Elias,13,64,28,56,0,0,5,11,0.5897435897435898,0.5855855855855856,0.29878048780487804,0.4,-0.015841995841995842,-0.061219512195121985,-0.03853075401855891
A Kudryavtsev,78,242,131,232,5,12,23,35,0.5873493975903614,0.6148148148148148,0.3333333333333333,0.4017857142857143,-0.047465417224453396,-0.028452380952380986,-0.037958899088417195
L Saville,70,214,113,209,6,12,18,31,0.5728155339805825,0.5954198473282443,0.3375796178343949,0.4107142857142857,-0.04260431334766178,-0.03313466787989081,-0.0378694906137763
H Dellien,41,141,82,159,3,8,16,31,0.5637065637065637,0.5801526717557252,0.31950207468879666,0.39814814814814814,-0.03644610804916147,-0.038646073459351483,-0.03754609075425648
O Rochus,35,143,80,142,2,6,12,23,0.5950413223140496,0.5853658536585366,0.29218106995884774,0.39622641509433965,-0.010324531344486947,-0.0640453451354919,-0.037184938239989425
G Rufin,19,69,43,85,1,4,10,16,0.5783783783783784,0.603448275862069,0.3254437869822485,0.3942307692307692,-0.0450698974836906,-0.0287869822485207,-0.03692843986610565
M Giron,46,184,118,203,3,9,18,33,0.6006600660066007,0.5864661654135338,0.2887323943661972,0.3944954128440367,-0.00580609940693309,-0.06576301847783952,-0.03578455894238631
R Schuettler,17,67,38,74,0,1,8,14,0.5862068965517241,0.5964912280701754,0.31736526946107785,0.39603960396039606,-0.030284331518451318,-0.03867433449931821,-0.03447933300888476
F Coria,13,64,43,79,0,3,11,19,0.5977653631284916,0.5966386554621849,0.29878048780487804,0.3883495145631068,-0.018873292333693264,-0.04956902675822875,-0.03422115954596101
A Montanes,14,67,44,80,1,1,4,10,0.6,0.5818181818181818,0.2994011976047904,0.40594059405940597,-0.0018181818181818125,-0.06653939645461557,-0.03417878913639869
F Dancevic,22,76,44,82,3,4,8,14,0.5934065934065934,0.5964912280701754,0.32954545454545453,0.41346153846153844,-0.023084634663581998,-0.043916083916083905,-0.03350035928983295
B Fratangelo,48,163,92,172,1,9,16,26,0.5735294117647058,0.6031746031746031,0.3193916349809886,0.3761467889908257,-0.0496451914098973,-0.016755154009837105,-0.03320017270986721
J Millman,546,1475,951,1571,61,115,94,161,0.6074207061639737,0.5900383141762452,0.36952380952380953,0.4697674418604651,-0.0026176080122714933,-0.06024363233665556,-0.031430620174463526
P Luczak,21,87,61,105,0,5,9,12,0.6097560975609756,0.6160714285714286,0.3048128342245989,0.38095238095238093,-0.026315331010453007,-0.036139546727782,-0.031227438869117503
E Schwank,20,83,60,103,1,2,5,9,0.6108374384236454,0.5963302752293578,0.30601092896174864,0.4019607843137255,-0.005492836805712425,-0.055949855351976864,-0.030721346078844643
T Griekspoor,12,67,48,81,0,2,4,8,0.6187845303867403,0.5925925925925926,0.2874251497005988,0.39215686274509803,0.006191937794147746,-0.06473171304449923,-0.029269887625175746
J Duckworth,474,1444,934,1524,37,97,105,161,0.6145320197044335,0.632183908045977,0.33031088082901555,0.39086294416243655,-0.037651888341543524,-0.020552063333421,-0.029101975837482263
T Smyczek,265,755,471,746,27,60,61,88,0.6323877068557919,0.6436170212765957,0.352046783625731,0.41875,-0.03122931442080377,-0.026703216374269013,-0.02896626539753639
A Falla,147,464,264,456,12,26,31,57,0.5899280575539568,0.5796178343949044,0.324468085106383,0.4126984126984127,-0.00968977684094761,-0.0482303275920297,-0.028960052216488653
F Bagnis,23,86,46,84,0,2,6,10,0.5978260869565217,0.6,0.3172043010752688,0.39215686274509803,-0.02217391304347825,-0.03495256166982922,-0.028563237356653733
D Munoz-De La Nava,75,255,156,253,4,14,22,31,0.623229461756374,0.6259541984732825,0.3126760563380282,0.38596491228070173,-0.02272473671690854,-0.033288855942673536,-0.028006796329791035
S Caruso,150,422,240,412,22,48,37,60,0.59375,0.60625,0.3563218390804598,0.4189189189189189,-0.03249999999999996,-0.022597079838459135,-0.027548539919229547
T Kokkinakis,267,838,569,914,23,53,59,95,0.6242603550295858,0.6102564102564103,0.3230277185501066,0.4117647058823529,-0.005996055226824542,-0.04873698733224633,-0.027366521279535434
J Souza,62,186,112,206,4,14,17,27,0.5751633986928104,0.6062992125984252,0.34265734265734266,0.38596491228070173,-0.05113581390561482,-0.003307569623359076,-0.02722169176448695
M Safwat,48,147,91,158,5,12,13,19,0.6007751937984496,0.6134453781512605,0.340080971659919,0.4017857142857143,-0.03267018435281098,-0.021704742625795283,-0.02718746348930313
P Gojowczyk,184,531,351,582,17,42,47,70,0.6085043988269795,0.6294117647058823,0.3486529318541997,0.4014084507042254,-0.040907365878902854,-0.012755518850025661,-0.026831442364464258
N Basilashvili,417,1187,802,1315,50,109,82,134,0.6120141342756183,0.6068376068376068,0.351981351981352,0.430622009569378,-0.014823472561988443,-0.03864065758802602,-0.02673206507500723
L Vanni,51,173,114,187,2,5,11,16,0.6202090592334495,0.6120689655172413,0.31868131868131866,0.4,-0.011859906283791837,-0.04131868131868136,-0.026589293801236598
C Berlocq,122,376,198,358,7,17,25,48,0.5720524017467249,0.5743243243243243,0.3319327731092437,0.4017094017094017,-0.02227192257759945,-0.02977662860015804,-0.026024275588878744
V Pospisil,283,935,629,967,21,49,56,87,0.6494845360824743,0.6203208556149733,0.30821256038647343,0.40939597315436244,0.009163680467500952,-0.061183412767889,-0.026009866150194023
D Tursunov,71,262,161,266,3,15,16,25,0.6147540983606558,0.608,0.2955801104972376,0.3739130434782609,-0.013245901639344231,-0.038332932981023284,-0.025789417310183756
C Moutet,123,396,224,383,15,32,28,54,0.5962732919254659,0.5714285714285714,0.32056451612903225,0.4166666666666667,0.004844720496894456,-0.05610215053763443,-0.025628715020369987
M Crugnola,18,64,35,70,1,1,4,11,0.5823529411764706,0.5765765765765766,0.32926829268292684,0.40594059405940597,-0.014223635400105943,-0.03667230137647912,-0.02544796838829253
D Gimeno-Traver,71,259,145,251,5,17,20,38,0.5954415954415955,0.5797101449275363,0.298050139275766,0.38461538461538464,-0.004268549485940781,-0.04656524533961862,-0.0254168974127797
C Ruud,265,748,496,765,28,58,55,79,0.6473988439306358,0.6424581005586593,0.35495283018867924,0.43037974683544306,-0.015059256628023415,-0.03542691664676382,-0.025243086637393615
T Robredo,281,808,518,810,22,58,56,74,0.6395604395604395,0.6666666666666666,0.3491189427312775,0.3924050632911392,-0.047106227106227125,-0.003286120559861695,-0.02519617383304441
J Smith,20,81,53,89,1,3,6,10,0.6190476190476191,0.6,0.30939226519337015,0.39805825242718446,-0.0009523809523809094,-0.0486659872338143,-0.024809184093097604
J Londero,58,182,113,208,6,10,11,27,0.5746753246753247,0.5590551181102362,0.3333333333333333,0.41818181818181815,-0.004379793434911555,-0.04484848484848484,-0.024614139141698195
D Shapovalov,309,886,606,923,38,74,62,95,0.6549364613880743,0.6256410256410256,0.34989858012170383,0.4482758620689655,0.009295435747048626,-0.058377281947261696,-0.024540923100106533
J Wang,16,86,69,103,0,1,5,7,0.6551724137931034,0.6074766355140186,0.27956989247311825,0.39603960396039606,0.027695778279084777,-0.0764697114872778,-0.024386966604096512
K De Schepper,61,181,112,196,4,11,14,21,0.5945945945945946,0.6115702479338843,0.34519572953736655,0.3963963963963964,-0.036975653339289635,-0.011200666859029852,-0.024088160099159744
N Gombos,84,235,129,222,10,21,25,39,0.5993788819875776,0.6115107913669064,0.3582089552238806,0.4132231404958678,-0.032131909379328846,-0.015014185271987203,-0.023573047325658025
T Gabashvili,205,612,362,603,14,39,44,67,0.6059743954480796,0.6227544910179641,0.33848314606741575,0.38848920863309355,-0.03678009556988447,-0.0100060625656778,-0.023393079067781136
D Nalbandian,160,435,250,421,15,33,37,56,0.6026871401151631,0.6217948717948718,0.3663551401869159,0.41353383458646614,-0.0391077316797087,-0.007178694399550246,-0.023143213039629473
Y Bhambri,68,241,155,273,7,14,7,23,0.5871313672922251,0.5447154471544715,0.30498533724340177,0.41228070175438597,0.022415920137753637,-0.0672953645109842,-0.02243972218661528
L Rosol,154,487,329,501,8,25,36,46,0.653910149750416,0.6575342465753424,0.32367972742759793,0.384,-0.023624096824926482,-0.020320272572402077,-0.021972184698664278
R Molleker,20,82,45,83,1,3,2,9,0.5956284153005464,0.5688073394495413,0.3076923076923077,0.39805825242718446,0.006821075851005127,-0.050365944734876746,-0.021772434441935808
J Kovalik,24,101,65,102,2,3,4,8,0.6386138613861386,0.5925925925925926,0.29850746268656714,0.4077669902912621,0.026021268793546066,-0.06925952760469498,-0.021619129405574457
R Machado,18,64,36,72,2,4,2,9,0.5813953488372093,0.5688073394495413,0.32926829268292684,0.40384615384615385,-0.0074119906123319805,-0.03457786116322701,-0.020994925887779493
L Lacko,351,1088,721,1180,35,85,74,125,0.61328125,0.5955555555555555,0.32575757575757575,0.40540540540540543,-0.002274305555555505,-0.03964782964782968,-0.02096106760169259
