,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
D Brown,622,2052,1359,2176,45,110,129,204,0.625219683655536,0.6217105263157895,0.30576208178438663,0.40476190476190477,-0.01649084266025345,-0.058999822977518136,-0.03774533281888579
M Jaziri,767,2273,1348,2346,65,171,205,326,0.5772690106295993,0.6220657276995305,0.33839022334597557,0.3874538745387454,-0.06479671706993116,-0.00906365119276984,-0.036930184131350505
D Koepfer,754,2043,1351,2230,86,194,164,255,0.6072961373390557,0.6309859154929578,0.3686420905272982,0.42857142857142855,-0.043689778153902056,-0.019929338044130364,-0.031809558099016214
M Giron,512,1564,999,1658,62,139,117,202,0.6046643913538111,0.5860927152317881,0.3293269230769231,0.42677824267782427,-0.0014283238779769607,-0.0574513196009012,-0.029439821739439077
J Vesely,1462,4563,3058,4667,127,317,264,396,0.6549192364170338,0.6532258064516129,0.3212524126099078,0.40047961630695444,-0.018306570034579122,-0.039227203697046666,-0.028766886865812892
J Duckworth,1125,3492,2231,3653,83,239,283,430,0.6115107913669064,0.6471698113207547,0.32321826280623606,0.36283185840707965,-0.05565901995384824,0.0003864043991564023,-0.02763630777734592
L Lacko,744,2466,1624,2666,68,163,162,285,0.6102675343456254,0.5766233766233766,0.303975058456742,0.41064638783269963,0.013644157722248824,-0.06667132937595763,-0.026513585826854404
P Gojowczyk,664,1906,1143,1951,68,169,157,257,0.5884934178449537,0.6078431372549019,0.3489531405782652,0.40148698884758366,-0.03934971940994823,-0.01253384826931845,-0.02594178383963334
T Kokkinakis,515,1591,1012,1637,38,105,110,168,0.6194588370754174,0.6343283582089553,0.3258426966292135,0.3804878048780488,-0.034869521133537904,-0.014645108248835283,-0.024757314691186593
J Millman,1703,4640,2925,4675,185,396,282,466,0.6259685863874346,0.6042402826855123,0.3668776371308017,0.4536290322580645,0.0017283037019222465,-0.04675139512726282,-0.022511545712670285
V Troicki,1779,4890,3131,4981,193,455,326,507,0.6288132257429639,0.6359143327841845,0.3637274549098196,0.4198198198198198,-0.02710110704122058,-0.01609236491000019,-0.021596735975610383
B Tomic,2271,6815,4619,7219,195,525,449,671,0.6398415084027873,0.6601815823605707,0.3336225596529284,0.376,-0.04034007395778337,-0.0023774403470715813,-0.021358757152427476
C Berlocq,568,1690,971,1687,46,114,128,226,0.5791829882484612,0.5766871165644172,0.33743016759776534,0.40186915887850466,-0.01750412831595603,-0.02443899128073932,-0.020971559798347673
J Ward,472,1473,958,1550,31,103,107,157,0.6193939393939394,0.6498054474708171,0.322949777495232,0.3497536945812808,-0.05041150807687776,0.013196082913951211,-0.018607712581463275
K Khachanov,2243,6173,3938,6018,239,557,368,562,0.6541353383458647,0.6465256797583081,0.36330304479515385,0.4246575342465753,-0.012390341412443422,-0.021354489451421467,-0.016872415431932443
F Bagnis,463,1378,848,1417,40,109,105,171,0.6011865524060646,0.6088560885608856,0.3376184032476319,0.3827751196172249,-0.027669536154821022,-0.005156716369592952,-0.016413126262206985
L Rosol,868,2848,1966,3061,64,174,157,249,0.6422018348623854,0.6217765042979942,0.3066485753052917,0.3795620437956204,0.0004253305643911083,-0.0329134684903287,-0.016244068962968795
L Kubot,652,1863,1210,1946,68,148,105,180,0.6226783968719453,0.5892857142857143,0.35048395313295977,0.43548387096774194,0.013392682586230959,-0.04499991783478217,-0.015803617624275602
D Young,1299,3634,2153,3677,136,326,270,467,0.5869737887212073,0.582010582010582,0.3575254418853776,0.4131455399061033,-0.015036793289374666,-0.015620098020725705,-0.015328445655050186
M Matosevic,581,1667,1021,1771,50,138,128,213,0.5799037947621593,0.6006389776357828,0.3491794001131862,0.37815126050420167,-0.04073518287362353,0.011028139608984543,-0.014853521632319493
S Darcis,748,2263,1385,2230,62,160,144,234,0.6218884120171674,0.6107784431137725,0.331781633516716,0.3923076923076923,-0.008890031096605116,-0.020526058790976277,-0.014708044943790697
M Kukushkin,1914,5198,3233,5369,202,494,374,609,0.6028524410312671,0.61212976022567,0.36806342015855037,0.4074074074074074,-0.02927731919440289,0.0006560127511429856,-0.014310653221629952
Q Halys,538,1543,940,1530,49,124,104,167,0.6159509202453988,0.6142322097378277,0.3493609251369446,0.39732142857142855,-0.018281289492428892,-0.007960503434483936,-0.013120896463456414
Y Sugita,628,1994,1283,2098,51,136,136,232,0.6128298453139217,0.5903614457831325,0.31709646609360076,0.3855932203389831,0.002468399530789162,-0.028496754245382318,-0.013014177357296578
I Karlovic,1511,5864,4267,5865,70,215,208,293,0.7260687342833194,0.6819338422391857,0.25938967136150237,0.3492063492063492,0.024134892044133677,-0.049816677844846814,-0.012840892900356568
P Kohlschreiber,2520,7254,4738,7200,244,591,402,622,0.6578082191780822,0.6398891966759003,0.34756595050312755,0.4109985528219971,-0.0020809774978180866,-0.023432602318869546,-0.012756789908343816
H Chung,835,2328,1474,2306,93,210,138,223,0.6392352452202826,0.6130030959752322,0.3587314662273476,0.4290322580645161,0.006232149245050462,-0.03030079183716853,-0.012034321296059034
G Simon,3915,9913,6338,10185,476,1042,603,991,0.6224598930481283,0.6076993583868011,0.3945870368520923,0.45183887915936954,-0.005239465338672793,-0.017251842307277256,-0.011245653822975024
J Donaldson,520,1508,985,1544,53,124,86,139,0.6380778588807786,0.6108786610878661,0.34577114427860695,0.41517857142857145,0.007199197792912466,-0.029407427149964506,-0.01110411467852602
F Delbonis,1177,3402,2043,3346,117,307,244,395,0.6114335461404526,0.6141414141414141,0.34637350085665336,0.3857493857493858,-0.022707868000961456,0.0006241151072675852,-0.011041876446846935
J Nieminen,705,2175,1395,2278,59,161,141,234,0.6135407905803196,0.6017964071856288,0.32571428571428573,0.3793103448275862,-0.00825561660530914,-0.013596059113300453,-0.010925837859304796
J Sinner,757,1915,1168,1880,107,220,127,213,0.6222222222222222,0.597444089456869,0.3935483870967742,0.459375,0.004778132765353233,-0.025826612903225778,-0.010524240068936272
P Martinez,476,1272,781,1326,59,159,116,182,0.5925666199158486,0.624113475177305,0.37317784256559766,0.38223938223938225,-0.0515468552614564,0.03093846032621541,-0.010304197467620495
P Lorenzi,1192,3679,2290,3725,98,262,220,367,0.6154248366013072,0.5995717344753747,0.32495369145276526,0.3812154696132597,-0.004146897874067506,-0.016261778160494435,-0.01020433801728097
B Klahn,558,1767,1139,1836,46,115,111,195,0.6213842975206612,0.5796610169491525,0.3181574718800214,0.4,0.021723280571508647,-0.04184252811997861,-0.01005962377423498
F Verdasco,3628,9731,6328,9750,383,942,595,899,0.6489340101522842,0.6556556556556556,0.3726986064489879,0.4059500959692898,-0.0267216455033714,0.006748510479698065,-0.009986567511836667
J Wilfried Tsonga,3846,10574,7322,10668,423,1032,506,732,0.6859212481426449,0.6802884615384616,0.3636874648679033,0.4090106007067138,-0.014367213395816685,-0.005323135838810479,-0.009845174617313582
S Johnson,2093,6517,4408,6890,170,472,387,605,0.6397711015736767,0.6340425531914894,0.3217470152637147,0.36713286713286714,-0.014271451617812719,-0.0053858518691524485,-0.009828651743482584
L Sonego,607,1828,1237,1972,70,165,118,204,0.627895752895753,0.5855263157894737,0.33350622406639,0.41509433962264153,0.022369437106279273,-0.041588115556251505,-0.009609339224986116
M Mcdonald,404,1081,638,1043,52,111,72,124,0.6141732283464567,0.5892857142857143,0.37256562235393736,0.43601895734597157,0.00488751406074241,-0.023453334992034204,-0.009282910465645897
C Norrie,901,2439,1498,2492,104,260,181,297,0.6026234567901234,0.6070528967254408,0.3690429302875148,0.4,-0.024429439935317415,0.00904293028751476,-0.0076932548239013274
R Opelka,683,2347,1690,2548,58,168,121,190,0.6623867069486404,0.6241379310344828,0.2938291785860237,0.3656716417910448,0.01824877591415765,-0.03184246320502108,-0.006796843645431714
V Pospisil,1184,3977,2768,4260,86,225,208,351,0.6495412844036698,0.5942350332594235,0.29923963698798134,0.38769230769230767,0.03530625114424625,-0.04845267070432633,-0.0065732097800400395
S Giraldo,968,2840,1710,2816,91,228,193,334,0.6083676268861454,0.5829493087557603,0.3414965986394558,0.39939024390243905,0.0054183181303850865,-0.01789364526298324,-0.006237663566299076
R Harrison,1102,3421,2176,3531,95,252,212,362,0.616909942164693,0.5887445887445888,0.32320363533087193,0.3835227272727273,0.008165353420104177,-0.020319091941855362,-0.006076869260875592
T Gabashvili,862,2371,1440,2313,79,212,163,250,0.6232905097389142,0.6371428571428571,0.36341562120598947,0.3814102564102564,-0.033852347403942926,0.022005364795733083,-0.005923491304104921
N Mahut,1353,3949,2484,4018,125,300,225,391,0.6187469645458961,0.5804480651731161,0.34304766609039267,0.4125,0.01829889937277997,-0.02945233390960731,-0.00557671726841367
J Benneteau,1714,4832,3017,4846,161,408,291,474,0.6229276182773958,0.6114982578397212,0.3548256285482563,0.3956692913385827,-0.008570639562325382,-0.0008436627903264174,-0.0047071511763259
D Lajovic,1557,4366,2762,4473,170,428,295,486,0.6179750710693199,0.60580204778157,0.3566950291088222,0.3977272727272727,-0.00782697671225006,-0.0010322436184504805,-0.00442961016535027
A Bublik,733,2018,1252,2071,82,205,145,243,0.6061722708429296,0.597667638483965,0.3630783758262512,0.4,-0.011495367641035408,0.003078375826251166,-0.004208495907392121
A De Minaur,1347,3531,2142,3469,137,330,234,378,0.6181003082095825,0.6150627615062761,0.38088680804186176,0.4116279069767442,-0.01696245329669364,0.009258901065117585,-0.003851776115788028
K Edmund,1615,4552,2991,4666,174,419,252,411,0.6409987410826689,0.6105675146771037,0.35490111779879624,0.4123314065510597,0.01043122640556517,-0.01743028875226347,-0.0034995311733491494
A Ramos-Vinolas,1339,3739,2310,3668,135,343,235,377,0.6300424628450106,0.6184486373165619,0.35816618911174786,0.39503386004514673,-0.008406174471551214,0.0031323290666011236,-0.002636922702475045
B Coric,1282,3794,2490,3833,122,301,201,329,0.6493770658530383,0.6083916083916084,0.33846944016435543,0.40399002493765584,0.020985457461429897,-0.025520584773300416,-0.0022675636559352595
R Soderling,419,1118,760,1150,53,103,49,82,0.6592,0.5989010989010989,0.3735632183908046,0.458128078817734,0.04029890109890112,-0.0445648604269294,-0.002132979664014139
T Sandgren,1248,3759,2471,3838,111,292,205,331,0.643727780599289,0.6148491879350348,0.3327286861881316,0.3852040816326531,0.008878592664254187,-0.012475395444521455,-0.0017984013901336336
I Dodig,574,1685,1042,1716,51,137,108,185,0.6090308370044053,0.5894736842105263,0.34173669467787116,0.38396624472573837,-0.00044284720612096026,-0.002229550047867214,-0.001336198626994087
T Smyczek,587,1669,1009,1626,52,142,114,183,0.6216685979142526,0.6148409893992933,0.35217637083097797,0.38016528925619836,-0.013172391485040773,0.012011081574779613,-0.0005806549551305804
M Youzhny,1577,4436,2795,4518,160,394,264,449,0.619099177132958,0.5901639344262295,0.35559964726631393,0.4048582995951417,0.008935242706728536,-0.009258652328827756,-0.00016170481104960978
M Berrettini,1757,5035,3402,4938,182,451,231,345,0.6879714172290592,0.6539325842696629,0.34917234664070107,0.4029038112522686,0.014038832959396248,-0.013731464611567525,0.0001536841739143615
H Laaksonen,530,1515,987,1561,53,129,85,143,0.6327513546056592,0.5967078189300411,0.3504643962848297,0.40611353711790393,0.016043535675618132,-0.015649140833074206,0.00019719742127196314
D Kudla,1241,3432,2095,3377,120,295,207,348,0.6209375898763302,0.5959821428571429,0.3615515288788222,0.4050632911392405,0.004955447019187282,-0.0035117622604183066,0.0007218423793844877
R Nadal,7359,17174,11693,16995,1079,2308,819,1213,0.6877449546651068,0.6694592536176694,0.42810003473428276,0.46470099667774084,-0.001714298952562681,0.003399038056541924,0.0008423695519896215
D Shapovalov,1544,4159,2683,4054,163,425,240,353,0.6612903225806451,0.6622516556291391,0.3709791030758394,0.38666666666666666,-0.020961333048493996,0.024312436409172765,0.0016755516803393846
J Melzer,885,2419,1446,2381,92,209,132,241,0.6086255542120113,0.5630498533724341,0.36562127828503377,0.42718446601941745,0.025575700839577182,-0.021563187734383683,0.0020062565525967493
T Ito,481,1451,899,1505,40,119,93,162,0.6,0.583969465648855,0.3333333333333333,0.365296803652968,-0.003969465648855013,0.0080365296803653,0.002033532015755143
T Bellucci,760,2212,1260,2104,68,175,145,261,0.6007259528130672,0.5678670360110804,0.34429065743944637,0.3927272727272727,0.012858916801986826,-0.008436615287826334,0.002211150757080246
M Russell,471,1302,749,1333,43,118,95,175,0.567341242149337,0.5636363636363636,0.3616262482168331,0.38073394495412843,-0.016295121487026592,0.020892303262704658,0.002298590887839033
P Carreno Busta,2339,6304,3999,6323,275,700,398,633,0.6325704499455084,0.6248294679399727,0.3708619612742036,0.39375,-0.012259017994464366,0.017111961274203634,0.002426471639869634
A Popyrin,743,2230,1530,2324,63,186,130,194,0.6575907590759076,0.6462585034013606,0.33433476394849787,0.36013986013986016,-0.008667744325453013,0.014194903808637714,0.0027635797415923504
M Klizan,1137,3252,1996,3354,105,292,223,379,0.5964099594672843,0.5908141962421712,0.34994033412887826,0.36989795918367346,-0.014404236774886985,0.020042374945204798,0.0028190690851589064
T Berdych,4439,11578,7838,11462,490,1169,532,793,0.683445770627919,0.6629339305711086,0.3831991779414283,0.4176516942474389,0.0005118400568103927,0.0055474836939894065,0.0030296618753998996
D Evans,1548,4114,2589,4136,167,421,263,422,0.6262983947119924,0.6187739463601533,0.375889890840057,0.39731285988483683,-0.012475551648160815,0.01857703095522014,0.003050739653529663
N Kyrgios,2367,7348,5091,7469,201,524,316,496,0.681067512220901,0.6308724832214765,0.3226369495166488,0.38621794871794873,0.030195028999424518,-0.023580999201299947,0.003307014899062285
P Cuevas,1564,4648,3044,4790,151,393,270,452,0.6355828220858896,0.5978260869565217,0.33698399326032014,0.38742393509127787,0.017756735129367835,-0.010439941830957734,0.0036583966492050504
M Zverev,777,2185,1327,2137,73,207,149,236,0.6218149307107733,0.6220238095238095,0.3557986870897155,0.36807817589576547,-0.020208878813036218,0.027720511193950047,0.0037558161904569145
B Van De Zandschulp,380,1030,707,1100,52,130,72,112,0.6425,0.6226415094339622,0.368141592920354,0.4,-0.0001415094339622773,0.008141592920353956,0.004000041743195839
A Roddick,641,1826,1344,1907,70,156,74,111,0.7015445939212755,0.6350710900473934,0.35150571131879543,0.4296875,0.046473503873882174,-0.038181788681204566,0.004145857596338804
T Fritz,1488,4229,2731,4163,153,395,244,383,0.6556415669716162,0.629399585921325,0.352044352044352,0.3898989898989899,0.006241981050291185,0.002145362145362116,0.0041936715978266505
E Gulbis,1502,4404,2852,4372,134,355,247,393,0.6520572450805009,0.6227180527383367,0.34147424511545293,0.3824175824175824,0.0093391923421642,-0.0009433373021294558,0.004197927520017372
S Stakhovsky,970,2904,1841,2979,87,229,175,306,0.6187073725235466,0.5788177339901478,0.3348868175765646,0.3860182370820669,0.019889638533398774,-0.011131419505502317,0.0043791095139482285
R Dutra Silva,514,1552,874,1510,39,110,98,187,0.5826086956521739,0.5505226480836237,0.33292978208232443,0.3761904761904762,0.012086047568550157,-0.003260694108151753,0.004412676730199202
A Bedene,1468,4327,2715,4310,133,346,252,426,0.6301587301587301,0.5931558935361216,0.3397334538061893,0.38789237668161436,0.017002836622608503,-0.008158922875425058,0.004421956873591723
B Paire,3010,8155,4984,8186,295,767,523,867,0.6092203717113203,0.6028955532574974,0.3689884918231375,0.3863898500576701,-0.013675181546177178,0.022598641765467352,0.004461730109645087
G Garcia-Lopez,1559,4316,2676,4307,147,366,247,419,0.6217381438620376,0.5915221579961464,0.36118659420289856,0.4012875536480687,0.010215985865891248,-0.00010095944517011374,0.005057513210360567
S Wawrinka,5515,14808,10158,15083,572,1476,727,1080,0.6732529803069223,0.6669491525423729,0.37235041588408907,0.3883248730964467,-0.013696172235450593,0.024025542787642372,0.00516468527609589
R Bautista Agut,3430,8680,5571,8618,408,941,494,793,0.6463638449185592,0.620380739081747,0.39476082004555807,0.4303554274735831,0.005983105836812292,0.004405392571974996,0.005194249204393644
J Sock,1975,5693,3759,5776,201,512,298,484,0.6506126616746086,0.613013698630137,0.34714310374590024,0.3937908496732026,0.017598963044471633,-0.006647745927302363,0.005475608558584635
D Sela,896,2558,1481,2491,81,211,175,315,0.5962948668467773,0.5662650602409639,0.3506395786305493,0.3890675241157556,0.010029806605813447,0.0015720545147936624,0.005800930560303555
J Janowicz,1356,3980,2595,4012,114,328,218,337,0.6466439688715954,0.6361556064073226,0.3411764705882353,0.3598130841121495,-0.00951163753572724,0.021363386476085787,0.005925874470179273
G Pella,1592,4586,2940,4640,140,392,302,481,0.6337552742616034,0.6230636833046471,0.3474178403755869,0.36585365853658536,-0.009308409043043735,0.021564181839001516,0.00612788639797889
F Mayer,846,2530,1560,2567,71,222,176,289,0.6089238845144357,0.6066838046272494,0.33536121673003805,0.3447204968944099,-0.01775992011281367,0.030640719835628126,0.006440399861407228
M Polmans,364,951,597,991,43,102,64,113,0.6058661778185152,0.5821596244131455,0.38058991436726924,0.41089108910891087,0.0037065534053696454,0.009698825258358378,0.0067026893318640115
L Djere,856,2454,1502,2444,79,222,165,274,0.6155660377358491,0.6016042780748663,0.34925606891151134,0.3695652173913043,-0.006038240339017214,0.01969085152020702,0.006826305590594902
F Fognini,3293,8744,5534,8902,378,896,512,878,0.6218618084870029,0.5848670756646217,0.37641338760741744,0.41967871485943775,0.016994732822381193,-0.0032653272520203128,0.00686470278518044
T Monteiro,599,1887,1194,1850,55,146,109,189,0.6451282051282051,0.5847750865051903,0.31957725213890287,0.3861788617886179,0.04035311862301484,-0.02660160964971501,0.006875754486649916
T Haas,966,2609,1708,2650,103,254,157,252,0.6443636363636364,0.6164772727272727,0.3698781838316722,0.403954802259887,0.007886363636363653,0.005923381571785201,0.006904872604074427
P Andujar,1230,3422,1942,3317,108,286,224,399,0.5870646766169154,0.5691382765531062,0.3594548551959114,0.38341968911917096,-0.0020735999361908113,0.016035166076740458,0.006980783070274823
A Mannarino,2024,5762,3497,5701,205,493,326,592,0.6138596793656266,0.5578034682080925,0.35141589901057657,0.4131534569983137,0.036056211157534115,-0.021737557987737112,0.007159326584898502
C Garin,1018,2803,1756,2872,112,293,196,331,0.6123822341857336,0.5939675174013921,0.3630726834309335,0.38676844783715014,-0.0015852832156585221,0.016304235593783377,0.007359476189062427
F Lopez,2590,7897,5185,7955,207,586,429,683,0.6516449410304159,0.6245210727969349,0.3283731399274728,0.36005830903790087,0.007123868233481007,0.008314830889571932,0.00771934956152647
D Dzumhur,1328,3450,1956,3286,155,355,208,382,0.596574128765505,0.5560165975103735,0.38422535211267606,0.42857142857142855,0.020557531255131507,-0.004346076458752492,0.008105727398189507
M Copil,528,1718,1091,1720,34,104,94,163,0.6346153846153846,0.5855513307984791,0.3102310231023102,0.3627450980392157,0.029064053816905484,-0.012514074936905463,0.00827498944000001
R Stepanek,844,2435,1493,2422,67,191,150,250,0.6173671689135607,0.6,0.34714003944773175,0.36769759450171824,-0.002632831086439285,0.019442444946013514,0.008404806929787114
S Travaglia,509,1469,916,1525,59,146,91,174,0.6030769230769231,0.551094890510949,0.34735500318674317,0.4024390243902439,0.03198203256597411,-0.015084021203500754,0.008449005681236677
E Roger-Vasselin,591,1677,1037,1703,54,154,110,185,0.610648918469218,0.5964912280701754,0.35284186831738884,0.3700787401574803,-0.005842309600957423,0.022763128159908518,0.008460409279475547
Y Lu,891,2712,1598,2644,64,185,171,303,0.6056851311953353,0.5732009925558312,0.32965860597439545,0.3649122807017544,0.012484138639504056,0.004746325272641037,0.008615231956072547
