,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
F Lopez,628,2050,1371,2159,58,136,139,216,0.6352368304559539,0.629746835443038,0.30883720930232555,0.4152542372881356,-0.014510004987084085,-0.06641702798581003,-0.04046351648644706
J Millman,546,1475,951,1571,61,115,94,161,0.6074207061639737,0.5900383141762452,0.36952380952380953,0.4697674418604651,-0.0026176080122714933,-0.06024363233665556,-0.031430620174463526
N Basilashvili,417,1187,802,1315,50,109,82,134,0.6120141342756183,0.6068376068376068,0.351981351981352,0.430622009569378,-0.014823472561988443,-0.03864065758802602,-0.02673206507500723
V Troicki,592,1708,1112,1777,60,146,117,182,0.6265316995205115,0.6276595744680851,0.3473451327433628,0.4065040650406504,-0.021127874947573604,-0.01915893229728758,-0.02014340362243059
F Verdasco,966,2555,1656,2576,106,246,170,252,0.6427503736920778,0.6534090909090909,0.37740112994350283,0.42196531791907516,-0.03065871721701317,-0.004564187975572322,-0.017611452596292744
R Berankis,354,959,617,1017,48,106,75,124,0.6096687555953447,0.6026785714285714,0.36827195467422097,0.42718446601941745,-0.013009815833226673,-0.018912511345196482,-0.015961163589211576
T Sandgren,447,1324,909,1351,40,103,80,110,0.6705720192970366,0.6666666666666666,0.33918539325842695,0.39408866995073893,-0.01609464736963005,-0.014903276692311986,-0.015498962030971017
J Wilfried Tsonga,1060,3002,2090,3075,117,272,146,214,0.6784251968503937,0.6560509554140127,0.3533204384268214,0.4220430107526882,0.0023742414363810034,-0.02872257232586676,-0.013174165444742878
G Simon,990,2571,1719,2735,123,263,155,255,0.6289241622574956,0.6056338028169014,0.38412579558217896,0.4490358126721763,0.00329035944059421,-0.02491001708999733,-0.01080982882470156
P Kohlschreiber,571,1571,1035,1529,60,132,78,114,0.6746470227133211,0.6448598130841121,0.3632555356074207,0.43103448275862066,0.009787209629208999,-0.027778947151199974,-0.008995868760995488
R Bautista Agut,900,2366,1563,2382,103,236,145,217,0.6555197421434327,0.6466876971608833,0.3795620437956204,0.4255952380952381,-0.011167955017450586,-0.006033194299617663,-0.008600574658534125
D Lajovic,514,1387,839,1362,68,148,94,162,0.6176470588235294,0.5877862595419847,0.3698722259583053,0.43548387096774194,0.009860799281544725,-0.025611645009436614,-0.007875422863945944
A Mannarino,489,1401,817,1358,54,123,86,159,0.6042524005486969,0.5637065637065637,0.3497668221185876,0.42152466367713004,0.020545836842133198,-0.03175784155854242,-0.005606002358204612
N Kyrgios,869,2745,1969,2801,87,203,103,159,0.7007928300586005,0.6293436293436293,0.3181019332161687,0.41914191419141916,0.05144920071497118,-0.061039980975250464,-0.004795390130139642
Y Nishioka,385,1022,584,1026,43,106,80,143,0.5754884547069272,0.5761316872427984,0.375222816399287,0.4029126213592233,-0.020643232535871175,0.01231019504006372,-0.004166518747903728
A Seppi,1117,3259,2160,3283,103,257,164,258,0.6574046704108779,0.6256983240223464,0.34325692170288774,0.4005602240896359,0.011706346388531536,-0.017303302386748133,-0.0027984779991082984
P Carreno Busta,651,1816,1184,1832,72,169,100,162,0.6459627329192547,0.6106870229007634,0.3585594989561587,0.4163568773234201,0.01527571001849128,-0.017797378367261397,-0.001260834174385059
B Tomic,851,2492,1709,2601,73,198,136,206,0.6564235468345058,0.6405228758169934,0.3422067901234568,0.37919463087248323,-0.004099328982487643,0.003012159250973555,-0.0005435848657570439
A Ramos-Vinolas,404,1166,773,1214,40,103,68,110,0.636986301369863,0.6095238095238096,0.34755134281200634,0.39408866995073893,0.007462491846053427,-0.006537327138732597,0.00046258235366041477
D Sela,392,1011,587,981,45,103,68,119,0.6022201665124884,0.5844748858447488,0.3852385238523852,0.4187192118226601,-0.0022547193322603847,0.006519312029725131,0.0021322963487323734
D Goffin,881,2200,1339,2149,119,241,115,208,0.6238328145842597,0.5681818181818182,0.39869565217391306,0.4662756598240469,0.03565099640244142,-0.027580007650133832,0.004035494376153793
K Anderson,605,1900,1264,1894,40,117,101,156,0.6659979939819458,0.62890625,0.3205,0.3686635944700461,0.017091743981945812,-0.008163594470046089,0.004464074755949862
D Istomin,495,1444,915,1419,39,105,81,131,0.6445029624753127,0.6103896103896104,0.3439119170984456,0.3853658536585366,0.01411335208570232,-0.0014539365600909973,0.006329707762805661
A Dolgopolov,633,1628,982,1585,78,172,96,170,0.6207715133531158,0.5777777777777777,0.3871527777777778,0.4338235294117647,0.022993735575338032,-0.006670751633986928,0.008161491970675552
A Murray,1772,4124,2718,4102,246,515,194,304,0.6620656830080914,0.6287128712871287,0.42803030303030304,0.46504065040650405,0.013352811720962716,0.002989652623798987,0.008171232172380851
D Medvedev,627,1586,1096,1627,94,181,79,135,0.671685002895194,0.5914893617021276,0.3932384341637011,0.47686832740213525,0.06019564119306632,-0.04362989323843417,0.008282873977316075
G Monfils,1320,3358,2153,3339,156,369,191,305,0.6446641465542309,0.6197530864197531,0.39213418160786584,0.417910447761194,0.004911060134477747,0.014223733846671825,0.009567396990574786
K Khachanov,563,1542,976,1485,53,136,85,131,0.6561514195583596,0.6277056277056277,0.36479902557856275,0.3940677966101695,0.008445791852731994,0.010731228968393257,0.009588510410562625
R Nadal,2048,4976,3365,4919,270,646,243,348,0.6832038254632397,0.6763392857142857,0.4105594956658786,0.4155495978552279,-0.013135460251046043,0.035009897810650746,0.010937218779802351
B Paire,617,1660,955,1614,52,163,124,201,0.5945157526254375,0.6112956810631229,0.3710227272727273,0.34980988593155893,-0.03677992843768539,0.061212841341168354,0.012216456451741482
N Almagro,574,1591,1072,1608,58,153,85,129,0.6651053864168618,0.6331877729257642,0.3607332939089296,0.38735177865612647,0.011917613491097562,0.013381515252803143,0.012649564371950353
J Benneteau,474,1301,799,1308,43,114,70,124,0.6129261363636364,0.5803571428571429,0.3640256959314775,0.3878504672897196,0.012568993506493448,0.016175228641757876,0.014372111074125662
S Wawrinka,1642,4447,3072,4573,176,440,208,325,0.6710892360368071,0.6305882352941177,0.36903452826039146,0.4,0.020501000742689474,0.009034528260391438,0.014767764501540456
M Baghdatis,707,1798,1081,1756,74,192,116,190,0.6169181034482759,0.6068965517241379,0.39146469968387776,0.3904109589041096,-0.009978448275862011,0.041053740779768165,0.015537646251953077
F Fognini,864,2366,1530,2372,86,234,141,224,0.6448220064724919,0.6203703703703703,0.36496350364963503,0.3772455089820359,0.004451636102121532,0.02771799466759913,0.016084815384860333
A Zverev,846,2237,1462,2153,103,255,121,183,0.6773191300488238,0.6395759717314488,0.3774069319640565,0.4028169014084507,0.01774315831737507,0.01459003055560578,0.016166594436490427
J Martin Del Potro,492,1340,900,1356,57,130,55,94,0.6620879120879121,0.5927835051546392,0.36666666666666664,0.4217391304347826,0.049304406933272885,-0.015072463768115975,0.017115971582578455
M Raonic,1428,4202,2949,4093,137,356,144,212,0.7185785833532077,0.6538461538461539,0.3403068340306834,0.3881578947368421,0.04473242950705382,-0.007851060706158687,0.018440684400447566
J Chardy,498,1534,985,1587,36,125,96,163,0.6218138707765264,0.5931558935361216,0.3268053855569155,0.3377777777777778,0.008657977240404752,0.02902760777913773,0.018842792509771243
G Dimitrov,1455,3769,2493,3731,152,401,211,316,0.6674497520229705,0.6514423076923077,0.3853708968725769,0.38323353293413176,-0.003992555669337188,0.04213736393844516,0.019072404134553987
T Fritz,431,1227,811,1193,45,115,65,104,0.6767208043310131,0.6127450980392157,0.3519216277317257,0.3953488372093023,0.04397570629179738,-0.0034272094775766107,0.020274248407110385
G Garcia-Lopez,459,1205,776,1193,48,110,50,88,0.6496519721577726,0.5851063829787234,0.3793103448275862,0.41904761904761906,0.044545589179049175,0.0002627257799671309,0.022404157479508153
J Isner,667,2289,1659,2259,38,122,71,104,0.7303942348452734,0.6421568627450981,0.2942653830054416,0.35135135135135137,0.06823737210017534,-0.017085968345909787,0.02557570187713278
M Cilic,1227,3292,2156,3116,115,311,152,224,0.6902985074626866,0.654320987654321,0.37234669811320753,0.3771289537712895,0.01597751980836561,0.03521774434191801,0.02559763207514181
L Hewitt,484,1258,772,1244,51,138,70,120,0.6220238095238095,0.5909090909090909,0.38291605301914583,0.38235294117647056,0.011114718614718595,0.04056311184267527,0.025838915228696933
K Nishikori,1440,3564,2275,3514,172,396,167,286,0.6472053126729386,0.5880829015544041,0.4028384279475983,0.4274193548387097,0.03912241111853444,0.015419073108888591,0.027270742113711516
D Schwartzman,710,1673,1049,1671,103,216,84,158,0.6284584980237155,0.5581395348837209,0.4207557811618725,0.4525316455696203,0.050318963139994524,0.008224135592252234,0.02927154936612338
S Tsitsipas,487,1455,1003,1423,53,127,43,75,0.7005909389363099,0.5885714285714285,0.33633440514469454,0.40969162995594716,0.09201951036488133,-0.03335722481125262,0.029331142776814357
M Fucsovics,533,1365,868,1341,70,168,68,119,0.6467730742539903,0.5844748858447488,0.38839590443686006,0.41044776119402987,0.0422981884092415,0.017948143242830193,0.030123165826035848
T Berdych,1557,3917,2694,3888,176,426,149,229,0.6915747241725175,0.6352583586626139,0.3965646004480956,0.41064638783269963,0.036316365509903595,0.025918212615395973,0.031117289062649784
D Ferrer,1503,3444,2108,3258,201,439,163,281,0.646813579511614,0.5853018372703412,0.434255079006772,0.44712430426716143,0.041511742241272756,0.027130774739610584,0.03432125849044167
