,,,,,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct,P2WinPct
,,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
match_id,P1BreakPoint,P2BreakPoint,player1,player2,,,,,,,,,,,,,,,,
2011-ausopen-1101,0.0,0.0,Rafael Nadal,Marcos Daniel,51.0,0.8242794357596211,0.06792993029175674,0.7272727272727273,0.7821568627450981,0.8035714285714286,0.8501683501683501,1.0,51.0,0.17572056424037874,0.06792993029175674,0.0,0.14983164983164982,0.19642857142857142,0.21784313725490195,0.2727272727272727
2011-ausopen-1101,0.0,1.0,Rafael Nadal,Marcos Daniel,4.0,0.7873465779072186,0.02505902163400492,0.7608695652173914,0.7697628458498024,0.7863636363636364,0.8039473684210526,0.8157894736842105,4.0,0.21265342209278137,0.025059021634004933,0.18421052631578946,0.19605263157894737,0.21363636363636362,0.23023715415019763,0.2391304347826087
2011-ausopen-1101,1.0,0.0,Rafael Nadal,Marcos Daniel,6.0,0.8500122600532437,0.07984064136819959,0.7884615384615384,0.8008196721311476,0.8183060109289617,0.8645833333333334,1.0,6.0,0.14998773994675635,0.07984064136819959,0.0,0.13541666666666666,0.18169398907103823,0.19918032786885248,0.21153846153846154
2011-ausopen-1103,0.0,0.0,Bernard Tomic,Jeremy Chardy,176.0,0.580017735026503,0.05281886577114661,0.4782608695652174,0.5575496342737722,0.5756485720514497,0.5950120554550934,1.0,176.0,0.4199822649734971,0.052818865771146625,0.0,0.40498794454490655,0.4243514279485503,0.4424503657262278,0.5217391304347826
2011-ausopen-1103,0.0,1.0,Bernard Tomic,Jeremy Chardy,2.0,0.5601289909065417,0.0005381976862774666,0.559748427672956,0.5599387092897488,0.5601289909065417,0.5603192725233346,0.5605095541401274,2.0,0.43987100909345833,0.0005381976862774666,0.4394904458598726,0.4396807274766655,0.43987100909345833,0.4400612907102512,0.44025157232704404
2011-ausopen-1103,1.0,0.0,Bernard Tomic,Jeremy Chardy,6.0,0.5766432378158122,0.020039755711007648,0.5507246376811594,0.5643363249881909,0.5744013409961686,0.5894097222222222,0.6049382716049383,6.0,0.4233567621841878,0.02003975571100765,0.3950617283950617,0.4105902777777778,0.4255986590038314,0.43566367501180914,0.4492753623188406
2011-ausopen-1105,0.0,0.0,John Isner,Florent Serra,189.0,0.550533910485872,0.08919968056098058,0.49193548387096775,0.5137614678899083,0.5248618784530387,0.5392670157068062,1.0,189.0,0.4494660895141278,0.08919968056098058,0.0,0.4607329842931937,0.47513812154696133,0.48623853211009177,0.5080645161290323
2011-ausopen-1105,0.0,1.0,John Isner,Florent Serra,4.0,0.5164529914529914,0.01776976315067674,0.5,0.5032051282051282,0.5136752136752136,0.5269230769230769,0.5384615384615384,4.0,0.48354700854700855,0.017769763150676732,0.46153846153846156,0.4730769230769231,0.4863247863247864,0.4967948717948718,0.5
