,,,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct,P1WinPct
,,,count,mean,std,min,25%,50%,75%,max
player1,P1BreakPoint,P2BreakPoint,,,,,,,,
Adam Pavlasek,0.0,0.0,537.0,0.4767472716462891,0.10153804451926086,0.0,0.4166666666666667,0.47183098591549294,0.5188679245283019,1.0
Adam Pavlasek,0.0,1.0,30.0,0.4155779206198168,0.05423442022483918,0.25,0.382413388138579,0.4048303622771708,0.4543078586878154,0.5333333333333333
Adam Pavlasek,1.0,0.0,26.0,0.5145156994076867,0.04324315980173215,0.3902439024390244,0.4857954545454546,0.5096681096681097,0.5474019582448324,0.5695652173913044
Adrian Mannarino,0.0,0.0,5354.0,0.4854441674837146,0.08639820766560638,0.0,0.45136862300043235,0.49352744030163387,0.5267618835790544,1.0
Adrian Mannarino,0.0,1.0,273.0,0.46321400464978874,0.07362282448005986,0.2,0.43023255813953487,0.47619047619047616,0.5072463768115942,0.6
Adrian Mannarino,1.0,0.0,216.0,0.5192246561890932,0.06200288453625635,0.3655913978494624,0.48143196672608435,0.5116058375439226,0.5591176470588235,0.8
Adrian Menendez Maceiras,0.0,0.0,173.0,0.43643104631011587,0.07422372374586203,0.33962264150943394,0.40229885057471265,0.4230769230769231,0.4375,1.0
Adrian Menendez Maceiras,0.0,1.0,7.0,0.4119693331878206,0.03556611679740055,0.35294117647058826,0.3961309523809524,0.41964285714285715,0.42613636363636365,0.4666666666666667
Adrian Menendez Maceiras,1.0,0.0,2.0,0.39921052631578946,0.04354289126254004,0.3684210526315789,0.3838157894736842,0.39921052631578946,0.4146052631578947,0.43
Adrian Ungur,0.0,0.0,105.0,0.3598118077732672,0.047633034017704336,0.0,0.3424657534246575,0.35714285714285715,0.3780487804878049,0.5
Adrian Ungur,0.0,1.0,13.0,0.38840019101325873,0.0679643189375047,0.31932773109243695,0.3434343434343434,0.3595505617977528,0.4166666666666667,0.5
Adrian Ungur,1.0,0.0,1.0,0.36,,0.36,0.36,0.36,0.36,0.36
Albano Olivetti,0.0,0.0,569.0,0.46910962534587114,0.06867155486862571,0.0,0.43902439024390244,0.4935483870967742,0.5,0.6923076923076923
Albano Olivetti,0.0,1.0,20.0,0.464402577321463,0.04076762838995728,0.34375,0.4346728151075977,0.49158205430932705,0.4959181649920677,0.49884526558891457
Albano Olivetti,1.0,0.0,5.0,0.535622998078155,0.10440240724308922,0.375,0.4977578475336323,0.5625,0.6,0.6428571428571429
Albert Montanes,0.0,0.0,471.0,0.47266001593888907,0.12445356714339097,0.0,0.3888888888888889,0.42857142857142855,0.5769341623090543,1.0
Albert Montanes,0.0,1.0,37.0,0.45167484713851835,0.09726599633663655,0.3333333333333333,0.38095238095238093,0.4090909090909091,0.5478260869565217,0.6229508196721312
Albert Montanes,1.0,0.0,11.0,0.5550624136250808,0.10899531051852439,0.39473684210526316,0.4587447882378758,0.5838150289017341,0.6417112299465241,0.6666666666666666
Albert Ramos,0.0,0.0,1140.0,0.4748000502539821,0.08281287530905766,0.0,0.45454545454545453,0.5,0.5146597341865616,1.0
Albert Ramos,0.0,1.0,55.0,0.4631195708117649,0.07612551074636308,0.2,0.4578098827470687,0.4965986394557823,0.5094275396637462,0.5306122448979592
Albert Ramos,1.0,0.0,47.0,0.4785932542108456,0.06564069887502208,0.2857142857142857,0.4696672389829123,0.5,0.5072440999860355,0.6363636363636364
Albert Ramos Vinolas,0.0,0.0,1332.0,0.48318265815889533,0.06906406785045537,0.0,0.44680851063829785,0.4892086330935252,0.5089820359281437,1.0
Albert Ramos Vinolas,0.0,1.0,60.0,0.45772253669100815,0.04438969068703438,0.3548387096774194,0.43400062558648733,0.475959315765141,0.4926172707889126,0.5304347826086957
Albert Ramos Vinolas,1.0,0.0,57.0,0.5155276941982347,0.0632005332896798,0.3829787234042553,0.4860557768924303,0.503448275862069,0.5184049079754601,0.6875
Albert Ramos-Vinolas,0.0,0.0,138.0,0.5774163557110981,0.08042033032756359,0.0,0.5714285714285714,0.5851457840819543,0.6,0.7272727272727273
Albert Ramos-Vinolas,0.0,1.0,7.0,0.5896821790653711,0.021953505379329653,0.5648148148148148,0.5681874535085545,0.5952380952380952,0.6086561743341404,0.6140350877192983
Albert Ramos-Vinolas,1.0,0.0,8.0,0.6005101980431189,0.021554518312472064,0.5725190839694656,0.5835436484824953,0.5962820512820513,0.6217672413793104,0.6274509803921569
Alejandro Davidovich Fokina,0.0,0.0,373.0,0.44023363737996046,0.0830029003755768,0.14285714285714285,0.3958333333333333,0.4339622641509434,0.4805194805194805,1.0
Alejandro Davidovich Fokina,0.0,1.0,26.0,0.4066827120648865,0.05434315893090863,0.2222222222222222,0.38461538461538464,0.3989247311827957,0.44832474226804125,0.49
Alejandro Davidovich Fokina,1.0,0.0,22.0,0.45156066841611736,0.0365222903630932,0.3916083916083916,0.4229723773141346,0.46294632159118143,0.4785618792971734,0.5092936802973977
Alejandro Falla,0.0,0.0,1893.0,0.463817613026068,0.06855944455366912,0.0,0.43795620437956206,0.46938775510204084,0.49714285714285716,1.0
Alejandro Falla,0.0,1.0,106.0,0.4453835973237159,0.06332608486874156,0.0,0.4288359788359788,0.45005370569280345,0.48814263309377315,0.5107913669064749
Alejandro Falla,1.0,0.0,87.0,0.48806444562737566,0.03507074382787578,0.4,0.4745470232959448,0.49310344827586206,0.5,0.6666666666666666
Alejandro Gonzalez,0.0,0.0,492.0,0.45204388008374785,0.10638762835210355,0.0,0.4027777777777778,0.44642857142857145,0.5272386009888299,1.0
Alejandro Gonzalez,0.0,1.0,32.0,0.4147673869591453,0.07795970359688109,0.2,0.40019426906265176,0.4195379537953795,0.45700280112044817,0.5254237288135594
Alejandro Gonzalez,1.0,0.0,21.0,0.4864520484537569,0.05472763062332829,0.35135135135135137,0.45132743362831856,0.5060240963855421,0.5364583333333334,0.547945205479452
Aleksandr Nedovyesov,0.0,0.0,122.0,0.33660515248823314,0.0998936455019565,0.0,0.26383399209486164,0.3840336134453781,0.41351943076081005,0.43103448275862066
Aleksandr Nedovyesov,0.0,1.0,4.0,0.17522477522477523,0.1389905892993785,0.0,0.10714285714285714,0.18681318681318682,0.2548951048951049,0.32727272727272727
Aleksandr Nedovyesov,1.0,0.0,8.0,0.3830783391308012,0.04030523443752592,0.3333333333333333,0.34760638297872337,0.3891190776436678,0.4197792869269949,0.4222222222222222
Alessandro Giannessi,0.0,0.0,208.0,0.44373247068586463,0.04979016193583783,0.25,0.42857142857142855,0.4444444444444444,0.4546478296478296,1.0
Alessandro Giannessi,0.0,1.0,12.0,0.43470561730047036,0.016431148633121718,0.4,0.4278115501519757,0.4405594405594405,0.4445773147051859,0.45454545454545453
Alessandro Giannessi,1.0,0.0,11.0,0.46053495642406916,0.026710976989309302,0.4318181818181818,0.4420434397163121,0.4532710280373832,0.47877358490566035,0.5
Alex Bogomolov Jr.,0.0,0.0,963.0,0.4989048168444137,0.0687511476312686,0.0,0.46904935681050997,0.5,0.5240569263955385,1.0
Alex Bogomolov Jr.,0.0,1.0,44.0,0.48357059903959315,0.0687747699344862,0.2,0.4558734939759036,0.4894117647058823,0.521481493360703,0.6666666666666666
Alex Bogomolov Jr.,1.0,0.0,36.0,0.515471494169955,0.06282252732732373,0.4,0.48995421057266136,0.5142440724824954,0.5285222960151803,0.8
Alex Bolt,0.0,0.0,137.0,0.4724487809766581,0.11395477634389746,0.38144329896907214,0.40540540540540543,0.4155844155844156,0.4888888888888889,1.0
Alex Bolt,0.0,1.0,12.0,0.4327503559894355,0.04756115053870149,0.39325842696629215,0.4065755572980845,0.41319025801784426,0.44654088050314467,0.5625
Alex Bolt,1.0,0.0,2.0,0.6291208791208791,0.019426010472157907,0.6153846153846154,0.6222527472527473,0.6291208791208791,0.6359890109890111,0.6428571428571429
Alex De Minaur,0.0,0.0,860.0,0.4870823712885818,0.07289463413450586,0.0,0.46647727272727274,0.4941168327796235,0.5356022115959354,1.0
Alex De Minaur,0.0,1.0,52.0,0.4668893139211049,0.056331578153875336,0.35714285714285715,0.4147727272727273,0.48258131377551017,0.5,0.5692307692307692
Alex De Minaur,1.0,0.0,43.0,0.5083051248742648,0.047615234041354086,0.367816091954023,0.4845633039945836,0.5,0.5406836783822822,0.5918367346938775
Alex Kuznetsov,0.0,0.0,571.0,0.4793758588210896,0.10031922169503578,0.0,0.4140394088669951,0.46,0.5483052235140002,0.6666666666666666
Alex Kuznetsov,0.0,1.0,35.0,0.45402516745623306,0.08391443965999976,0.3125,0.37835420393559926,0.4397905759162304,0.5258418326048244,0.6363636363636364
Alex Kuznetsov,1.0,0.0,25.0,0.5454117973785304,0.10387211942621354,0.362962962962963,0.4588235294117647,0.5674157303370787,0.6428571428571429,0.6545454545454545
Alex Molcan,0.0,0.0,341.0,0.4550178677124297,0.10820958385934158,0.0,0.4307692307692308,0.45588235294117646,0.5161290322580645,0.5978835978835979
Alex Molcan,0.0,1.0,17.0,0.38220220844812325,0.1521516815524162,0.0,0.4276729559748428,0.43312101910828027,0.4358974358974359,0.5070422535211268
Alex Molcan,1.0,0.0,20.0,0.5207806029737165,0.05704444038971505,0.391304347826087,0.5119398791965164,0.5230487011065743,0.5577523703290574,0.5927835051546392
Alex de Minaur,0.0,0.0,1348.0,0.5278859470453974,0.1058649801006018,0.0,0.4666666666666667,0.534437146506112,0.5622226331360947,1.0
Alex de Minaur,0.0,1.0,63.0,0.48035795679588844,0.07589328980629304,0.3076923076923077,0.4209450249886415,0.4716981132075472,0.5425932320441988,0.7567567567567568
Alex de Minaur,1.0,0.0,81.0,0.5571968646060417,0.0891608324451573,0.3684210526315789,0.5035971223021583,0.5483870967741935,0.5806451612903226,0.8888888888888888
Alexander Bublik,0.0,0.0,1409.0,0.5006889492997999,0.09157302672898315,0.0,0.4782608695652174,0.5084745762711864,0.532258064516129,1.0
Alexander Bublik,0.0,1.0,68.0,0.4857263853937603,0.06328943210999154,0.125,0.4711111111111111,0.47783251231527096,0.5223588429672908,0.6222222222222222
Alexander Bublik,1.0,0.0,62.0,0.5313987892850884,0.07947609731011317,0.37037037037037035,0.47996021669206024,0.5220463609172483,0.5414959016393442,0.7272727272727273
Alexander Kudryavtsev,0.0,0.0,474.0,0.46407245905033573,0.09403497043999494,0.0,0.41081349206349205,0.4842164855072464,0.49442883895131085,1.0
Alexander Kudryavtsev,0.0,1.0,35.0,0.4555178504188264,0.04399529677456477,0.3816793893129771,0.4049883540372671,0.4816753926701571,0.4917011019283747,0.4982698961937716
Alexander Kudryavtsev,1.0,0.0,12.0,0.48941513154347865,0.08868260610622676,0.38848920863309355,0.41708023159636065,0.49130041235039723,0.4977272727272727,0.6666666666666666
Alexander Zverev,0.0,0.0,4258.0,0.5210260823226357,0.08364638706288917,0.0,0.48148148148148145,0.5168539325842697,0.55,1.0
Alexander Zverev,0.0,1.0,183.0,0.4913625033177136,0.051679685662486596,0.3333333333333333,0.46462185434884185,0.5,0.525062656641604,0.6136363636363636
Alexander Zverev,1.0,0.0,222.0,0.5416565896759654,0.07322213832362931,0.3698630136986301,0.49849397590361444,0.5320249860152899,0.5762317518248175,1.0
Alexandr Dolgopolov,0.0,0.0,4220.0,0.5004779791789858,0.08258371871881234,0.0,0.4645715460128633,0.5048081368469718,0.5423728813559322,1.0
Alexandr Dolgopolov,0.0,1.0,190.0,0.47070831693741566,0.0693206147953945,0.2222222222222222,0.43169555264879006,0.4772626564750194,0.5204109589041096,0.64
Alexandr Dolgopolov,1.0,0.0,225.0,0.5255622952020153,0.0468554259101951,0.35294117647058826,0.5,0.5267175572519084,0.5555555555555556,0.6842105263157895
Alexei Popyrin,0.0,0.0,895.0,0.5125360471097177,0.09640131407184957,0.0,0.5,0.5287958115183246,0.5489458941471326,1.0
Alexei Popyrin,0.0,1.0,38.0,0.45498020161693636,0.1420130542002275,0.0,0.43304843304843305,0.5033215862599749,0.5400811770674785,0.6153846153846154
Alexei Popyrin,1.0,0.0,38.0,0.5391043653528309,0.059220230477709114,0.45,0.5040222507488232,0.5343484256492761,0.5542168674698795,0.8
Aljaz Bedene,0.0,0.0,2246.0,0.5038952851127185,0.0798106839752246,0.0,0.4685872430152873,0.5,0.5294117647058824,1.0
Aljaz Bedene,0.0,1.0,108.0,0.49009567797741077,0.06626076341078704,0.2,0.4697917005431071,0.49307716735471574,0.5247477578475336,0.6363636363636364
Aljaz Bedene,1.0,0.0,102.0,0.5254346469817817,0.06289016308347521,0.4375,0.4756912742924221,0.512928162068506,0.5455773893715903,0.75
Amir Weintraub,0.0,0.0,173.0,0.4114037024330876,0.11143628615583727,0.2222222222222222,0.375,0.4166666666666667,0.42777777777777776,1.0
Amir Weintraub,0.0,1.0,6.0,0.3804456623882777,0.06368510812873067,0.2727272727272727,0.3515625,0.4085513565891473,0.42414174972314506,0.430939226519337
Amir Weintraub,1.0,0.0,3.0,0.43005509055658014,0.00341618697546384,0.4276315789473684,0.4281015037593985,0.42857142857142855,0.43126684636118595,0.4339622641509434
Andrea Arnaboldi,0.0,0.0,336.0,0.45199240621986414,0.07137301523713227,0.0,0.43407196138657306,0.4439203354297694,0.45522269071324806,0.75
Andrea Arnaboldi,0.0,1.0,8.0,0.4310179575687131,0.0061079159065607356,0.42528735632183906,0.4265465581815834,0.42939223697650664,0.43386363636363634,0.44
Andreas Beck,0.0,0.0,494.0,0.45051689277174223,0.06311511094257255,0.0,0.438160469667319,0.4583333333333333,0.47189033074853615,1.0
Andreas Beck,0.0,1.0,32.0,0.4358855136940462,0.040577993887629005,0.25,0.4315391723318593,0.43987951807228914,0.45719822812846067,0.5
Andreas Beck,1.0,0.0,11.0,0.4629742308468995,0.01886546826493875,0.43870967741935485,0.4517094017094017,0.4628099173553719,0.46519370460048426,0.5
Andreas Haider Maurer,0.0,0.0,226.0,0.45626764842902834,0.1149533005032227,0.0,0.4042944305381727,0.42403846153846153,0.4714206437291898,1.0
Andreas Haider Maurer,0.0,1.0,16.0,0.42904180355336047,0.043721193915205944,0.37777777777777777,0.4028881566194999,0.41472686863960695,0.4377556984219755,0.55
Andreas Haider Maurer,1.0,0.0,4.0,0.4723305860805861,0.04743215738293078,0.40714285714285714,0.45803571428571427,0.48108974358974355,0.49538461538461537,0.52
Andreas Haider-Maurer,0.0,0.0,629.0,0.5059258142228107,0.0786593904714586,0.0,0.4827586206896552,0.5076923076923077,0.5263157894736842,1.0
Andreas Haider-Maurer,0.0,1.0,19.0,0.49162197251534895,0.07882332287338338,0.2,0.48632668144863267,0.5,0.5223452604241812,0.5862068965517241
Andreas Haider-Maurer,1.0,0.0,33.0,0.5048331908199999,0.04242274955180699,0.35714285714285715,0.4935064935064935,0.5073891625615764,0.5256410256410257,0.5961538461538461
Andreas Seppi,0.0,0.0,8160.0,0.4904240186565576,0.08113122636995662,0.0,0.46153846153846156,0.4931506849315068,0.5241067719152472,1.0
Andreas Seppi,0.0,1.0,386.0,0.46895366137836103,0.058269541055594405,0.0,0.44793429758424375,0.4782608695652174,0.5020920675427114,0.5909090909090909
Andreas Seppi,1.0,0.0,399.0,0.5161554852394455,0.06272155394729609,0.2777777777777778,0.4801246051246051,0.509090909090909,0.5430826015018455,0.875
Andrej Martin,0.0,0.0,188.0,0.5683916217043159,0.04723680281635186,0.5,0.5489929667519182,0.5588235294117647,0.5759358288770053,1.0
Andrej Martin,0.0,1.0,12.0,0.5544343422667831,0.013213018205731493,0.5338983050847458,0.5487394957983194,0.5564663023679417,0.5590625336347003,0.5769230769230769
Andrej Martin,1.0,0.0,8.0,0.5696409402733333,0.020261037686490447,0.54421768707483,0.5571581196581197,0.5608670219680228,0.5861486486486487,0.6
Andrey Golubev,0.0,0.0,515.0,0.43319486481220465,0.07878195223388214,0.0,0.4174938530188508,0.4532710280373832,0.4749429223744292,1.0
Andrey Golubev,0.0,1.0,52.0,0.4301150168901654,0.07335426203172132,0.2,0.4218525824964132,0.44902683295540435,0.47424711511398815,0.5172413793103449
Andrey Golubev,1.0,0.0,22.0,0.45272356675141984,0.05589866789909596,0.3125,0.4366129032258065,0.46395373741700574,0.4821209758271137,0.5833333333333334
Andrey Kuznetsov,0.0,0.0,3049.0,0.49800236588621416,0.10209282250161454,0.0,0.44785276073619634,0.4852941176470588,0.5358361774744027,1.0
Andrey Kuznetsov,0.0,1.0,132.0,0.46395229593461135,0.08144124478439568,0.2,0.4153133778089888,0.46092796092796096,0.51002331002331,0.8
Andrey Kuznetsov,1.0,0.0,114.0,0.5203257325948768,0.08573137151254888,0.3125,0.46954002808988765,0.5193185210456736,0.5504213483146068,0.8
Andrey Rublev,0.0,0.0,2652.0,0.5079489129862739,0.09021746132527345,0.0,0.4808793305930711,0.5118845843422115,0.5357636148382005,1.0
Andrey Rublev,0.0,1.0,113.0,0.4889920262603028,0.07410783947243761,0.2,0.47115384615384615,0.5028901734104047,0.5247524752475248,0.7222222222222222
Andrey Rublev,1.0,0.0,101.0,0.5349736554970312,0.08103908366796572,0.3488372093023256,0.5,0.5258964143426295,0.5512820512820513,0.8888888888888888
Andy Murray,0.0,0.0,13518.0,0.5331856429591393,0.08657922442039276,0.0,0.49514563106796117,0.5333333333333333,0.569620253164557,1.0
Andy Murray,0.0,1.0,496.0,0.500058607529316,0.0655076333344005,0.1111111111111111,0.4697565773297271,0.5,0.5404542840713054,0.6666666666666666
Andy Murray,1.0,0.0,845.0,0.5565443070114231,0.06567241671564394,0.3181818181818182,0.5235294117647059,0.5487804878048781,0.5833333333333334,1.0
Andy Roddick,0.0,0.0,1851.0,0.5367295788186102,0.10202842696635045,0.0,0.4982517482517482,0.5434782608695652,0.5757575757575758,1.0
Andy Roddick,0.0,1.0,60.0,0.49511121944598213,0.08467721447187491,0.25,0.45043126978927833,0.5173987941429802,0.5567617866004962,0.632183908045977
Andy Roddick,1.0,0.0,85.0,0.5672570797609406,0.08513883572807934,0.3595505617977528,0.5257731958762887,0.5642857142857143,0.6050420168067226,0.8888888888888888
Ante Pavic,0.0,0.0,134.0,0.40974729669271054,0.09004619845841623,0.34615384615384615,0.375,0.3904344512195122,0.4079230769230769,1.0
Ante Pavic,0.0,1.0,9.0,0.39797335808139384,0.04266034210516769,0.352112676056338,0.3728813559322034,0.3870967741935484,0.40458015267175573,0.5
Ante Pavic,1.0,0.0,2.0,0.39734366353071393,0.018000504667726156,0.38461538461538464,0.39097952407304926,0.39734366353071393,0.40370780298837855,0.41007194244604317
Antoine Hoang,0.0,0.0,653.0,0.46437925962676685,0.07208566404111769,0.0,0.43529411764705883,0.463768115942029,0.5111111111111111,1.0
Antoine Hoang,0.0,1.0,40.0,0.42019547883982755,0.0653228020711208,0.2,0.4116272677295217,0.43072037742696423,0.46343984962406015,0.5189873417721519
Antoine Hoang,1.0,0.0,27.0,0.4857791225184189,0.04451386347776067,0.41739130434782606,0.45553359683794464,0.49473684210526314,0.527164217832701,0.5416666666666666
Antonio Veic,0.0,0.0,248.0,0.4581118928773604,0.08174057528341963,0.0,0.44847876004592424,0.4892395096798098,0.49780216609276107,0.517948717948718
Antonio Veic,0.0,1.0,19.0,0.45816384061650556,0.0639801184697092,0.3125,0.45847602739726023,0.48739495798319327,0.4911497493734336,0.5049019607843137
Antonio Veic,1.0,0.0,16.0,0.4635437224553233,0.05572530560504667,0.35135135135135137,0.4411057692307692,0.49106007628734905,0.49865358497634993,0.5123674911660777
Arnaud Clement,0.0,0.0,813.0,0.5125862567051981,0.06518956606099775,0.25,0.4885844748858447,0.5071428571428571,0.518796992481203,1.0
Arnaud Clement,0.0,1.0,24.0,0.49035916175729105,0.04613462052819947,0.375,0.47214147286821706,0.5,0.5079069767441861,0.5869565217391305
Arnaud Clement,1.0,0.0,47.0,0.5136888669748325,0.03746300930212537,0.4552238805970149,0.4992227350012145,0.5121951219512195,0.5186577554998608,0.6363636363636364
Aslan Karatsev,0.0,0.0,975.0,0.4696903160461151,0.06628511248048927,0.0,0.4597237671486837,0.4785276073619632,0.5,1.0
Aslan Karatsev,0.0,1.0,51.0,0.4673307413676534,0.04613778503121939,0.3,0.46126568466994,0.4716981132075472,0.5,0.5235602094240838
Aslan Karatsev,1.0,0.0,49.0,0.4798479675920077,0.04381506747387008,0.4,0.46153846153846156,0.4793388429752066,0.5117370892018779,0.625
