,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num,player1_new,player2_new
0,2011-frenchopen-1101,2011,frenchopen,1101,Rafael Nadal,John Isner,Complete,1,event_MS,round_1,Court Philippe Chatrier,A,atpn409,atpi186,ESP,USA,1101,R Nadal,J Isner
1,2011-frenchopen-1104,2011,frenchopen,1104,Denis Gremelmayr,Nikolay Davydenko,Complete,2,event_MS,round_1,Court 6,H,atpg512,atpd402,GER,RUS,1104,D Gremelmayr,N Davydenko
2,2011-frenchopen-1105,2011,frenchopen,1105,Sam Querrey,Philipp Kohlschreiber,Complete,1,event_MS,round_1,Court 7,I,atpq927,atpk435,USA,GER,1105,S Querrey,P Kohlschreiber
3,2011-frenchopen-1106,2011,frenchopen,1106,Ivan Ljubicic,Somdev Devvarman,Complete,1,event_MS,round_1,Court 3,E,atpl360,atpd616,CRO,IND,1106,I Ljubicic,S Devvarman
4,2011-frenchopen-1108,2011,frenchopen,1108,Juan Monaco,Fernando Verdasco,Complete,2,event_MS,round_1,Court 2,D,atpma21,atpv306,ARG,ESP,1108,J Monaco,F Verdasco
5,2011-frenchopen-1109,2011,frenchopen,1109,Mardy Fish,Ricardo Mello,Complete,1,event_MS,round_1,Court 7,I,atpf339,atpm708,USA,BRA,1109,M Fish,R Mello
6,2011-frenchopen-1111,2011,frenchopen,1111,Jeremy Chardy,Grigor DiMitrov,Complete,1,event_MS,round_1,Court 1,C,atpca12,atpd875,FRA,BUL,1111,J Chardy,G Dimitrov
7,2011-frenchopen-1112,2011,frenchopen,1112,Michael Russell,Gilles Simon,Complete,2,event_MS,round_1,Court Philippe Chatrier,A,atpr368,atpsd32,USA,FRA,1112,M Russell,G Simon
8,2011-frenchopen-1113,2011,frenchopen,1113,Marcos Baghdatis,Frederico Gil,Complete,1,event_MS,round_1,Court 2,D,atpb837,atpg717,CYP,POR,1113,M Baghdatis,F Gil
9,2011-frenchopen-1116,2011,frenchopen,1116,Ryan Harrison,Robin Soderling,Complete,2,event_MS,round_1,Court Suzanne Lenglen,B,atph940,atpsa49,USA,SWE,1116,R Harrison,R Soderling
10,2011-frenchopen-1117,2011,frenchopen,1117,Andy Murray,Eric Prodon,Complete,1,event_MS,round_1,Court Suzanne Lenglen,B,atpmc10,atpp487,GBR,FRA,1117,A Murray,E Prodon
11,2011-frenchopen-1119,2011,frenchopen,1119,Arnaud Clement,Filippo Volandri,Complete,1,event_MS,round_1,Court 2,D,atpc487,atpv254,FRA,ITA,1119,A Clement,F Volandri
12,2011-frenchopen-1121,2011,frenchopen,1121,Alexandr Dolgopolov,Rainer Schuettler,Complete,1,event_MS,round_1,Court 6,H,atpd801,atps636,UKR,GER,1121,A Dolgopolov,R Schuettler
13,2011-frenchopen-1124,2011,frenchopen,1124,Julian Reister,Viktor Troicki,Complete,2,event_MS,round_1,Court 6,H,atpr782,atpt840,GER,SRB,1124,J Reister,V Troicki
14,2011-frenchopen-1125,2011,frenchopen,1125,Nicolas Almagro,Lukasz Kubot,Complete,2,event_MS,round_1,Court 6,H,atpa479,atpk540,ESP,POL,1125,N Almagro,L Kubot
15,2011-frenchopen-1129,2011,frenchopen,1129,Kevin Anderson,Nicolas Mahut,Complete,1,event_MS,round_1,Court 7,I,atpa678,atpm873,RSA,FRA,1129,K Anderson,N Mahut
16,2011-frenchopen-1131,2011,frenchopen,1131,Edouard Roger-Vasselin,Lukas Rosol,Complete,2,event_MS,round_1,Court 3,E,atpr613,atpr685,FRA,CZE,1131,E Roger-Vasselin,L Rosol
17,2011-frenchopen-1132,2011,frenchopen,1132,Andreas Beck,Jurgen Melzer,Complete,2,event_MS,round_1,Court 1,C,atpba86,atpm762,GER,AUT,1132,A Beck,J Melzer
18,2011-frenchopen-1133,2011,frenchopen,1133,David Ferrer,Jarkko Nieminen,Complete,1,event_MS,round_1,Court Philippe Chatrier,A,atpf401,atpn289,ESP,FIN,1133,D Ferrer,J Nieminen
19,2011-frenchopen-1134,2011,frenchopen,1134,Julien Benneteau,Rui Machado,Complete,1,event_MS,round_1,Court Suzanne Lenglen,B,atpb747,atpma49,FRA,POR,1134,J Benneteau,R Machado
20,2011-frenchopen-1135,2011,frenchopen,1135,Kei Nishikori,Yen-Hsun Lu,Complete,1,event_MS,round_1,Court 2,D,atpn552,atpl575,JPN,TPE,1135,K Nishikori,Y Lu
21,2011-frenchopen-1136,2011,frenchopen,1136,David Guez,Sergiy Stakhovsky,Complete,2,event_MS,round_1,Court 1,C,atpg753,atpsc77,FRA,UKR,1136,D Guez,S Stakhovsky
22,2011-frenchopen-1137,2011,frenchopen,1137,Michael Llodra,Steve Darcis,Complete,2,event_MS,round_1,Court 1,C,atpl428,atpd632,FRA,BEL,1137,M Llodra,S Darcis
23,2011-frenchopen-1139,2011,frenchopen,1139,Adrian Mannarino,Guillaume Rufin,Complete,2,event_MS,round_1,Court 2,D,atpme82,atpra17,FRA,FRA,1139,A Mannarino,G Rufin
24,2011-frenchopen-1140,2011,frenchopen,1140,Bjorn Phau,Gael Monfils,Complete,2,event_MS,round_1,Court Suzanne Lenglen,B,atpp436,atpmc65,GER,FRA,1140,B Phau,G Monfils
25,2011-frenchopen-1141,2011,frenchopen,1141,Stanislas Wawrinka,Augustin Gensse,Complete,1,event_MS,round_1,Court 1,C,atpw367,atpg695,SUI,FRA,1141,S Wawrinka,A Gensse
26,2011-frenchopen-1143,2011,frenchopen,1143,Florent Serra,Igor Andreev,Complete,2,event_MS,round_1,Court 3,E,atps963,atpa511,FRA,RUS,1143,F Serra,I Andreev
27,2011-frenchopen-1144,2011,frenchopen,1144,Jan Hajek,Jo-Wilfried Tsonga,Complete,2,event_MS,round_1,Court Philippe Chatrier,A,atph571,atpt786,CZE,FRA,1144,J Hajek,J Wilfried Tsonga
