,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num
0,2011-wimbledon-1105,2011,wimbledon,1105,Juan Martin Del Potro,Flavio Cipolla,Complete,1,event_MS,round_1,Court 18,S,atpd683,atpc723,ARG,ITA,1105
1,2011-wimbledon-1112,2011,wimbledon,1112,Radek Stepanek,Fernando Verdasco,Complete,2,event_MS,round_1,No. 2 Court,C,atps694,atpv306,CZE,ESP,1112
2,2011-wimbledon-1117,2011,wimbledon,1117,Andy Murray,Daniel Gimeno-Traver,Complete,1,event_MS,round_1,Centre Court,A,atpmc10,atpg676,GBR,ESP,1117
3,2011-wimbledon-1120,2011,wimbledon,1120,Ivan Ljubicic,Marin Cilic,Complete,1,event_MS,round_1,No. 3 Court,D,atpl360,atpc977,CRO,CRO,1120
4,2011-wimbledon-1128,2011,wimbledon,1128,Ivo Karlovic,Janko Tipsarevic,Retired,1,event_MS,round_1,Court 12,M,atpk336,atpt742,CRO,SRB,1128
5,2011-wimbledon-1132,2011,wimbledon,1132,Andreas Beck,Andy Roddick,Complete,2,event_MS,round_1,No. 1 Court,B,atpba86,atpr485,GER,USA,1132
6,2011-wimbledon-1133,2011,wimbledon,1133,David Ferrer,Benoit Paire,Complete,1,event_MS,round_1,No. 3 Court,D,atpf401,atppd31,ESP,FRA,1133
7,2011-wimbledon-1142,2011,wimbledon,1142,John Isner,Nicolas Mahut,Complete,1,event_MS,round_1,No. 3 Court,D,atpi186,atpm873,USA,FRA,1142
8,2011-wimbledon-1148,2011,wimbledon,1148,Mikhail Kukushkin,Roger Federer,Complete,2,event_MS,round_1,Centre Court,A,atpk926,atpf324,KAZ,SUI,1148
9,2011-wimbledon-1149,2011,wimbledon,1149,Robin Soderling,Philipp Petzschner,Complete,1,event_MS,round_1,No. 1 Court,B,atpsa49,atpp624,SWE,GER,1149
10,2011-wimbledon-1150,2011,wimbledon,1150,Kei Nishikori,Lleyton Hewitt,Complete,2,event_MS,round_1,Court 12,M,atpn552,atph432,JPN,AUS,1150
11,2011-wimbledon-1155,2011,wimbledon,1155,Ernests Gulbis,Dmitry Tursunov,Complete,2,event_MS,round_1,Court 18,S,atpg858,atpt315,LAT,RUS,1155
12,2011-wimbledon-1160,2011,wimbledon,1160,James Ward,Michael Llodra,Complete,2,event_MS,round_1,No. 2 Court,C,atpw503,atpl428,GBR,FRA,1160
13,2011-wimbledon-1161,2011,wimbledon,1161,Marcos Baghdatis,James Blake,Complete,1,event_MS,round_1,Court 18,S,atpb837,atpb676,CYP,USA,1161
14,2011-wimbledon-1164,2011,wimbledon,1164,Jeremy Chardy,Novak Djokovic,Complete,2,event_MS,round_1,Centre Court,A,atpca12,atpd643,FRA,SRB,1164
15,2011-wimbledon-1201,2011,wimbledon,1201,Rafael Nadal,Ryan Sweeting,Complete,1,event_MS,round_2,Centre Court,A,atpn409,atpsg87,ESP,USA,1201
16,2011-wimbledon-1202,2011,wimbledon,1202,Gilles Muller,Milos Raonic,Retired,1,event_MS,round_2,No. 3 Court,D,atpma30,atpr975,LUX,CAN,1202
17,2011-wimbledon-1203,2011,wimbledon,1203,Juan Martin Del Potro,Olivier Rochus,Complete,1,event_MS,round_2,No. 2 Court,C,atpd683,atpr397,ARG,BEL,1203
18,2011-wimbledon-1205,2011,wimbledon,1205,Mardy Fish,Denis Istomin,Complete,1,event_MS,round_2,No. 2 Court,C,atpf339,atpi165,USA,UZB,1205
19,2011-wimbledon-1206,2011,wimbledon,1206,Robin Haase,Fernando Verdasco,Complete,1,event_MS,round_2,Court 12,M,atph756,atpv306,NED,ESP,1206
20,2011-wimbledon-1208,2011,wimbledon,1208,Julien Benneteau,Tomas Berdych,Complete,2,event_MS,round_2,No. 1 Court,B,atpb747,atpba47,FRA,CZE,1208
21,2011-wimbledon-1209,2011,wimbledon,1209,Andy Murray,Tobias Kamke,Complete,1,event_MS,round_2,No. 1 Court,B,atpmc10,atpk839,GBR,GER,1209
22,2011-wimbledon-1211,2011,wimbledon,1211,Richard Gasquet,Igor Kunitsyn,Complete,1,event_MS,round_2,Court 12,M,atpg628,atpk403,FRA,RUS,1211
23,2011-wimbledon-1212,2011,wimbledon,1212,Simone Bolelli,Stanislas Wawrinka,Complete,1,event_MS,round_2,Court 18,S,atpba98,atpw367,ITA,SUI,1212
24,2011-wimbledon-1216,2011,wimbledon,1216,Victor Hanescu,Andy Roddick,Complete,2,event_MS,round_2,Centre Court,A,atph528,atpr485,ROU,USA,1216
25,2011-wimbledon-1217,2011,wimbledon,1217,David Ferrer,Ryan Harrison,Complete,1,event_MS,round_2,No. 2 Court,C,atpf401,atph940,ESP,USA,1217
26,2011-wimbledon-1220,2011,wimbledon,1220,Grigor Dimitrov,Jo-Wilfried Tsonga,Complete,2,event_MS,round_2,No. 1 Court,B,atpd875,atpt786,BUL,FRA,1220
27,2011-wimbledon-1221,2011,wimbledon,1221,Nicolas Almagro,John Isner,Complete,1,event_MS,round_2,Court 18,S,atpa479,atpi186,ESP,USA,1221
28,2011-wimbledon-1223,2011,wimbledon,1223,David Nalbandian,Andreas Haider-Maurer,Complete,1,event_MS,round_2,Court 12,M,atpn301,atph804,ARG,AUT,1223
29,2011-wimbledon-1224,2011,wimbledon,1224,Adrian Mannarino,Roger Federer,Complete,2,event_MS,round_2,Centre Court,A,atpme82,atpf324,FRA,SUI,1224
30,2011-wimbledon-1225,2011,wimbledon,1225,Robin Soderling,Lleyton Hewitt,Complete,1,event_MS,round_2,Centre Court,A,atpsa49,atph432,SWE,AUS,1225
31,2011-wimbledon-1226,2011,wimbledon,1226,Igor Andreev,Bernard Tomic,Complete,2,event_MS,round_2,No. 3 Court,D,atpa511,atpta46,RUS,AUS,1226
32,2011-wimbledon-1228,2011,wimbledon,1228,Dmitry Tursunov,Jurgen Melzer,Complete,2,event_MS,round_2,Court 12,M,atpt315,atpm762,RUS,AUT,1228
33,2011-wimbledon-1229,2011,wimbledon,1229,Viktor Troicki,Yen-Hsun Lu,Complete,2,event_MS,round_2,Court 18,S,atpt840,atpl575,SRB,TPE,1229
34,2011-wimbledon-1231,2011,wimbledon,1231,Marcos Baghdatis,Andreas Seppi,Complete,1,event_MS,round_2,No. 3 Court,D,atpb837,atpsa93,CYP,ITA,1231
35,2011-wimbledon-1232,2011,wimbledon,1232,Kevin Anderson,Novak Djokovic,Complete,2,event_MS,round_2,No. 1 Court,B,atpa678,atpd643,RSA,SRB,1232
36,2011-wimbledon-1301,2011,wimbledon,1301,Rafael Nadal,Gilles Muller,Complete,1,event_MS,round_3,No. 1 Court,B,atpn409,atpma30,ESP,LUX,1301
37,2011-wimbledon-1302,2011,wimbledon,1302,Juan Martin Del Potro,Gilles Simon,Complete,1,event_MS,round_3,No. 2 Court,C,atpd683,atpsd32,ARG,FRA,1302
38,2011-wimbledon-1304,2011,wimbledon,1304,Alex Bogomolov Jr.,Tomas Berdych,Complete,2,event_MS,round_3,Court 18,S,atpb842,atpba47,USA,CZE,1304
39,2011-wimbledon-1305,2011,wimbledon,1305,Andy Murray,Ivan Ljubicic,Complete,1,event_MS,round_3,Centre Court,A,atpmc10,atpl360,GBR,CRO,1305
40,2011-wimbledon-1307,2011,wimbledon,1307,Gael Monfils,Lukasz Kubot,Complete,2,event_MS,round_3,No. 3 Court,D,atpmc65,atpk540,FRA,POL,1307
