,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num
0,2017,ausopen,1101,Andy Murray,Illya Marchenko,,,,,,,,,,,1101
1,2017,ausopen,1102,Andrey Rublev,Yen Hsun Lu,,,,,,,,,,,1102
2,2017,ausopen,1103,Alex De Minaur,Gerald Melzer,,,,,,,,,,,1103
3,2017,ausopen,1104,Quentin Halys,Sam Querrey,,,,,,,,,,,1104
4,2017,ausopen,1105,John Isner,Konstantin Kravchuk,,,,,,,,,,,1105
5,2017,ausopen,1106,Guillermo Garcia Lopez,Mischa Zverev,,,,,,,,,,,1106
6,2017,ausopen,1108,Alexander Bublik,Lucas Pouille,,,,,,,,,,,1108
7,2017,ausopen,1109,Tomas Berdych,Luca Vanni,,,,,,,,,,,1109
8,2017,ausopen,1110,Ryan Harrison,Nicolas Mahut,,,,,,,,,,,1110
9,2017,ausopen,1112,Jurgen Melzer,Roger Federer,,,,,,,,,,,1112
10,2017,ausopen,1113,Albert Ramos Vinolas,Lukas Lacko,,,,,,,,,,,1113
11,2017,ausopen,1116,Andrey Kuznetsov,Kei Nishikori,,,,,,,,,,,1116
12,2017,ausopen,1117,Stan Wawrinka,Martin Klizan,,,,,,,,,,,1117
13,2017,ausopen,1118,Federico Delbonis,Steve Johnson,,,,,,,,,,,1118
14,2017,ausopen,1119,James Duckworth,Paolo Lorenzi,,,,,,,,,,,1119
15,2017,ausopen,1120,Damir Dzumhur,Viktor Troicki,,,,,,,,,,,1120
16,2017,ausopen,1121,Pablo Cuevas,Diego Schwartzman,,,,,,,,,,,1121
17,2017,ausopen,1122,Steve Darcis,Sam Groth,,,,,,,,,,,1122
18,2017,ausopen,1123,Paul Henri Mathieu,Andreas Seppi,,,,,,,,,,,1123
19,2017,ausopen,1124,Gastao Elias,Nick Kyrgios,,,,,,,,,,,1124
20,2017,ausopen,1125,Jo Wilfried Tsonga,Thiago Monteiro,,,,,,,,,,,1125
21,2017,ausopen,1126,Dusan Lajovic,Stephane Robert,,,,,,,,,,,1126
22,2017,ausopen,1127,Karen Khachanov,Adrian Mannarino,,,,,,,,,,,1127
23,2017,ausopen,1128,Pierre Hugues Herbert,Jack Sock,,,,,,,,,,,1128
24,2017,ausopen,1129,Bernard Tomic,Thomaz Bellucci,,,,,,,,,,,1129
25,2017,ausopen,1130,Victor Estrella Burgos,Aljaz Bedene,,,,,,,,,,,1130
26,2017,ausopen,1131,Facundo Bagnis,Daniel Evans,,,,,,,,,,,1131
27,2017,ausopen,1132,Jerzy Janowicz,Marin Cilic,,,,,,,,,,,1132
28,2017,ausopen,1133,Gael Monfils,Jiri Vesely,,,,,,,,,,,1133
29,2017,ausopen,1134,Alexandr Dolgopolov,Borna Coric,,,,,,,,,,,1134
30,2017,ausopen,1136,Nikoloz Basilashvili,Philipp Kohlschreiber,,,,,,,,,,,1136
31,2017,ausopen,1137,Alexander Zverev,Robin Haase,,,,,,,,,,,1137
32,2017,ausopen,1139,Mikhail Youzhny,Marcos Baghdatis,,,,,,,,,,,1139
33,2017,ausopen,1140,Florian Mayer,Rafael Nadal,,,,,,,,,,,1140
34,2017,ausopen,1141,Roberto Bautista Agut,Guido Pella,,,,,,,,,,,1141
35,2017,ausopen,1142,Yoshihito Nishioka,Alex Bolt,,,,,,,,,,,1142
36,2017,ausopen,1143,Daniil Medvedev,Ernesto Escobedo,,,,,,,,,,,1143
