,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num,,player1_new,player2_new
0,2018-ausopen-1101,2018,ausopen,1101,R. Nadal,V. Estrella Burgos,,,,,,,,,ESP,DOM,1101,,R Nadal,V Estrella Burgos
1,2018-ausopen-1102,2018,ausopen,1102,N. Jarry,L. Mayer,,,,,,,,,CHI,ARG,1102,,N Jarry,L Mayer
2,2018-ausopen-1103,2018,ausopen,1103,J. Millman,B. Coric,,,,,,,,,AUS,CRO,1103,,J Millman,B Coric
3,2018-ausopen-1104,2018,ausopen,1104,P. Lorenzi,D. Dzumhur,,,,,,,,,ITA,BIH,1104,,P Lorenzi,D Dzumhur
4,2018-ausopen-1105,2018,ausopen,1105,D. Schwartzman,D. Lajovic,,,,,,,,,ARG,SRB,1105,,D Schwartzman,D Lajovic
5,2018-ausopen-1106,2018,ausopen,1106,C. Ruud,Q. Halys,,,,,,,,,NOR,FRA,1106,,C Ruud,Q Halys
6,2018-ausopen-1107,2018,ausopen,1107,A. Dolgopolov,A. Haider-Maurer,,,,,,,,,UKR,AUT,1107,,A Dolgopolov,A Haider-Maurer
7,2018-ausopen-1108,2018,ausopen,1108,M. Ebden,J. Isner,,,,,,,,,AUS,USA,1108,,M Ebden,J Isner
8,2018-ausopen-1109,2018,ausopen,1109,P. Carreno Busta,J. Kubler,,,,,,,,,ESP,AUS,1109,,P Carreno Busta,J Kubler
9,2018-ausopen-1110,2018,ausopen,1110,G. Simon,M. Copil,,,,,,,,,FRA,ROU,1110,,G Simon,M Copil
10,2018-ausopen-1111,2018,ausopen,1111,S. Caruso,M. Jaziri,,,,,,,,,ITA,TUN,1111,,S Caruso,M Jaziri
11,2018-ausopen-1112,2018,ausopen,1112,F. Delbonis,G. Muller,,,,,,,,,ARG,LUX,1112,,F Delbonis,G Muller
12,2018-ausopen-1113,2018,ausopen,1113,P. Cuevas,M. Youzhny,,,,,,,,,URU,RUS,1113,,P Cuevas,M Youzhny
13,2018-ausopen-1114,2018,ausopen,1114,D. Sela,R. Harrison,,,,,,,,,ISR,USA,1114,,D Sela,R Harrison
14,2018-ausopen-1115,2018,ausopen,1115,D. Brown,J. Sousa,,,,,,,,,GER,POR,1115,,D Brown,J Sousa
15,2018-ausopen-1116,2018,ausopen,1116,V. Pospisil,M. Cilic,,,,,,,,,CAN,CRO,1116,,V Pospisil,M Cilic
16,2018-ausopen-1117,2018,ausopen,1117,G. Dimitrov,D. Novak,,,,,,,,,BUL,AUT,1117,,G Dimitrov,D Novak
17,2018-ausopen-1118,2018,ausopen,1118,M. McDonald,E. Ymer,,,,,,,,,USA,SWE,1118,,M McDonald,E Ymer
18,2018-ausopen-1119,2018,ausopen,1119,M. Baghdatis,Y. Bhambri,,,,,,,,,CYP,IND,1119,,M Baghdatis,Y Bhambri
19,2018-ausopen-1120,2018,ausopen,1120,D. Ferrer,A. Rublev,,,,,,,,,ESP,RUS,1120,,D Ferrer,A Rublev
20,2018-ausopen-1121,2018,ausopen,1121,N. Kyrgios,R. Dutra Silva,,,,,,,,,AUS,BRA,1121,,N Kyrgios,R Dutra Silva
21,2018-ausopen-1122,2018,ausopen,1122,V. Troicki,A. Bolt,,,,,,,,,SRB,AUS,1122,,V Troicki,A Bolt
22,2018-ausopen-1123,2018,ausopen,1123,S. Tsitsipas,D. Shapovalov,,,,,,,,,GRE,CAN,1123,,S Tsitsipas,D Shapovalov
23,2018-ausopen-1124,2018,ausopen,1124,K. King,J. Wilfired Tsonga,,,,,,,,,USA,FRA,1124,,K King,J Wilfried Tsonga
24,2018-ausopen-1125,2018,ausopen,1125,K. Anderson,K. Edmund,,,,,,,,,RSA,GBR,1125,,K Anderson,K Edmund
25,2018-ausopen-1126,2018,ausopen,1126,P. Herbert,D. Istomin,,,,,,,,,FRA,UZB,1126,,P Herbert,D Istomin
26,2018-ausopen-1127,2018,ausopen,1127,G. Melzer,N. Basilashvili,,,,,,,,,AUT,GEO,1127,,G Melzer,N Basilashvili
27,2018-ausopen-1128,2018,ausopen,1128,R. Bemelmans,L. Pouille,,,,,,,,,BEL,FRA,1128,,R Bemelmans,L Pouille
28,2018-ausopen-1129,2018,ausopen,1129,P. Kohlschreiber,Y. Nishioka,,,,,,,,,GER,JPN,1129,,P Kohlschreiber,Y Nishioka
29,2018-ausopen-1130,2018,ausopen,1130,A. Seppi,C. Moutet,,,,,,,,,ITA,FRA,1130,,A Seppi,C Moutet
30,2018-ausopen-1131,2018,ausopen,1131,I. Karlovic,L. Djere,,,,,,,,,CRO,SRB,1131,,I Karlovic,L Djere
31,2018-ausopen-1132,2018,ausopen,1132,Y. Sugita,J. Sock,,,,,,,,,JPN,USA,1132,,Y Sugita,J Sock
32,2018-ausopen-1133,2018,ausopen,1133,D. Thiem,G. Pella,,,,,,,,,AUT,ARG,1133,,D Thiem,G Pella
33,2018-ausopen-1134,2018,ausopen,1134,S. Johnson,D. Kudla,,,,,,,,,USA,USA,1134,,S Johnson,D Kudla
34,2018-ausopen-1135,2018,ausopen,1135,V. Safranek,J. Vesely,,,,,,,,,CZE,CZE,1135,,V Safranek,J Vesely
35,2018-ausopen-1136,2018,ausopen,1136,M. Berrettini,A. Mannarino,,,,,,,,,ITA,FRA,1136,,M Berrettini,A Mannarino
36,2018-ausopen-1137,2018,ausopen,1137,R. Bautista Agut,F. Verdasco,,,,,,,,,ESP,ESP,1137,,R Bautista Agut,F Verdasco
37,2018-ausopen-1138,2018,ausopen,1138,C. Stebe,M. Marterer,,,,,,,,,GER,GER,1138,,C Stebe,M Marterer
38,2018-ausopen-1139,2018,ausopen,1139,J. Chardy,T. Sandgren,,,,,,,,,FRA,USA,1139,,J Chardy,T Sandgren
39,2018-ausopen-1140,2018,ausopen,1140,R. Berankis,S. Wawrinka,,,,,,,,,LTU,SUI,1140,,R Berankis,S Wawrinka
40,2018-ausopen-1141,2018,ausopen,1141,N. Djokovic,D. Young,,,,,,,,,SRB,USA,1141,,N Djokovic,D Young
41,2018-ausopen-1142,2018,ausopen,1142,G. Monfils,J. Munar,,,,,,,,,FRA,ESP,1142,,G Monfils,J Munar
42,2018-ausopen-1143,2018,ausopen,1143,T. Smyczek,A. Popyrin,,,,,,,,,USA,AUS,1143,,T Smyczek,A Popyrin
43,2018-ausopen-1144,2018,ausopen,1144,J. Donaldson,A. Ramos-Vinolas,,,,,,,,,USA,ESP,1144,,J Donaldson,A Ramos-Vinolas
44,2018-ausopen-1145,2018,ausopen,1145,M. Zverev,H. Chung,,,,,,,,,GER,KOR,1145,,M Zverev,H Chung
45,2018-ausopen-1146,2018,ausopen,1146,T. Kokkinakis,D. Medvedev,,,,,,,,,AUS,RUS,1146,,T Kokkinakis,D Medvedev
46,2018-ausopen-1147,2018,ausopen,1147,M. Kukushkin,P. Gojowczyk,,,,,,,,,KAZ,GER,1147,,M Kukushkin,P Gojowczyk
47,2018-ausopen-1148,2018,ausopen,1148,T. Fabbiano,A. Zverev,,,,,,,,,ITA,GER,1148,,T Fabbiano,A Zverev
48,2018-ausopen-1149,2018,ausopen,1149,D. Goffin,M. Bachinger,,,,,,,,,BEL,GER,1149,,D Goffin,M Bachinger
49,2018-ausopen-1150,2018,ausopen,1150,J. Benneteau,T. Daniel,,,,,,,,,FRA,JPN,1150,,J Benneteau,T Daniel
