,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2
0,2021-ausopen-MS101,2021,ausopen,MS101,N Djokovic,J Chardy,,,,,,,,,,
1,2021-ausopen-MS102,2021,ausopen,MS102,F Tiafoe,S Travaglia,,,,,,,,,,
2,2021-ausopen-MS103,2021,ausopen,MS103,R Opelka,Y Lu,,,,,,,,,,
3,2021-ausopen-MS104,2021,ausopen,MS104,A Ramos-Vinolas,T Fritz,,,,,,,,,,
4,2021-ausopen-MS105,2021,ausopen,MS105,S Wawrinka,P Sousa,,,,,,,,,,
5,2021-ausopen-MS106,2021,ausopen,MS106,M Fucsovics,M Polmans,,,,,,,,,,
6,2021-ausopen-MS107,2021,ausopen,MS107,C Moutet,J Millman,,,,,,,,,,
7,2021-ausopen-MS108,2021,ausopen,MS108,F Coria,M Raonic,,,,,,,,,,
8,2021-ausopen-MS109,2021,ausopen,MS109,G Monfils,E Ruusuvuori,,,,,,,,,,
9,2021-ausopen-MS110,2021,ausopen,MS110,Y Nishioka,P Martinez,,,,,,,,,,
10,2021-ausopen-MS111,2021,ausopen,MS111,A Bedene,A Bublik,,,,,,,,,,
11,2021-ausopen-MS112,2021,ausopen,MS112,S Stakhovsky,D Lajovic,,,,,,,,,,
12,2021-ausopen-MS113,2021,ausopen,MS113,A Mannarino,D Novak,,,,,,,,,,
13,2021-ausopen-MS114,2021,ausopen,MS114,M Kecmanovic,K Majchrzak,,,,,,,,,,
14,2021-ausopen-MS115,2021,ausopen,MS115,T Daniel,M Cressy,,,,,,,,,,
15,2021-ausopen-MS116,2021,ausopen,MS116,M Giron,A Zverev,,,,,,,,,,
16,2021-ausopen-MS117,2021,ausopen,MS117,D Thiem,M Kukushkin,,,,,,,,,,
17,2021-ausopen-MS118,2021,ausopen,MS118,D Koepfer,H Dellien,,,,,,,,,,
18,2021-ausopen-MS119,2021,ausopen,MS119,F Ferreira Silva,N Kyrgios,,,,,,,,,,
19,2021-ausopen-MS120,2021,ausopen,MS120,Y Uchiyama,U Humbert,,,,,,,,,,
20,2021-ausopen-MS121,2021,ausopen,MS121,G Dimitrov,M Cilic,,,,,,,,,,
21,2021-ausopen-MS122,2021,ausopen,MS122,A Bolt,N Gombos,,,,,,,,,,
22,2021-ausopen-MS123,2021,ausopen,MS123,K Coppejans,J Vesely,,,,,,,,,,
23,2021-ausopen-MS124,2021,ausopen,MS124,K Nishikori,P Carreno Busta,,,,,,,,,,
24,2021-ausopen-MS125,2021,ausopen,MS125,D Shapovalov,J Sinner,,,,,,,,,,
25,2021-ausopen-MS126,2021,ausopen,MS126,Y Sugita,B Tomic,,,,,,,,,,
26,2021-ausopen-MS127,2021,ausopen,MS127,D Dzumhur,J Duckworth,,,,,,,,,,
27,2021-ausopen-MS128,2021,ausopen,MS128,C Stebe,F Auger-Aliassime,,,,,,,,,,
28,2021-ausopen-MS129,2021,ausopen,MS129,B Paire,E Gerasimov,,,,,,,,,,
29,2021-ausopen-MS130,2021,ausopen,MS130,G Mager,A Karatsev,,,,,,,,,,
30,2021-ausopen-MS131,2021,ausopen,MS131,A Muller,J Londero,,,,,,,,,,
31,2021-ausopen-MS132,2021,ausopen,MS132,E Ymer,D Schwartzman,,,,,,,,,,
32,2021-ausopen-MS133,2021,ausopen,MS133,A Rublev,Y Hanfmann,,,,,,,,,,
33,2021-ausopen-MS134,2021,ausopen,MS134,T Monteiro,A Martin,,,,,,,,,,
34,2021-ausopen-MS135,2021,ausopen,MS135,L Tu,F Lopez,,,,,,,,,,
35,2021-ausopen-MS136,2021,ausopen,MS136,S Querrey,L Sonego,,,,,,,,,,
36,2021-ausopen-MS137,2021,ausopen,MS137,C Ruud,J Thompson,,,,,,,,,,
37,2021-ausopen-MS138,2021,ausopen,MS138,N Basilashvili,T Paul,,,,,,,,,,
38,2021-ausopen-MS139,2021,ausopen,MS139,C O'Connell,J Struff,,,,,,,,,,
39,2021-ausopen-MS140,2021,ausopen,MS140,R Albot,R Bautista Agut,,,,,,,,,,
40,2021-ausopen-MS141,2021,ausopen,MS141,D Goffin,A Popyrin,,,,,,,,,,
41,2021-ausopen-MS142,2021,ausopen,MS142,L Harris,M Torpegaard,,,,,,,,,,
42,2021-ausopen-MS143,2021,ausopen,MS143,M Mcdonald,M Cecchinato,,,,,,,,,,
43,2021-ausopen-MS144,2021,ausopen,MS144,G Pella,B Coric,,,,,,,,,,
44,2021-ausopen-MS145,2021,ausopen,MS145,F Krajinovic,R Haase,,,,,,,,,,
45,2021-ausopen-MS146,2021,ausopen,MS146,P Andujar,Q Halys,,,,,,,,,,
46,2021-ausopen-MS147,2021,ausopen,MS147,R Carballes Baena,A Balazs,,,,,,,,,,
47,2021-ausopen-MS148,2021,ausopen,MS148,V Pospisil,D Medvedev,,,,,,,,,,
48,2021-ausopen-MS149,2021,ausopen,MS149,S Tsitsipas,G Simon,,,,,,,,,,
49,2021-ausopen-MS150,2021,ausopen,MS150,T Kokkinakis,S Kwon,,,,,,,,,,
50,2021-ausopen-MS151,2021,ausopen,MS151,B Van De Zandschulp,C Alcaraz,,,,,,,,,,
51,2021-ausopen-MS152,2021,ausopen,MS152,M Ymer,H Hurkacz,,,,,,,,,,
52,2021-ausopen-MS153,2021,ausopen,MS153,K Khachanov,A Vukic,,,,,,,,,,
53,2021-ausopen-MS154,2021,ausopen,MS154,R Berankis,S Nagal,,,,,,,,,,
54,2021-ausopen-MS155,2021,ausopen,MS155,T Machac,M Vilella Martinez,,,,,,,,,,
55,2021-ausopen-MS156,2021,ausopen,MS156,K Anderson,M Berrettini,,,,,,,,,,
56,2021-ausopen-MS157,2021,ausopen,MS157,F Fognini,P Herbert,,,,,,,,,,
57,2021-ausopen-MS158,2021,ausopen,MS158,H Laaksonen,S Caruso,,,,,,,,,,
58,2021-ausopen-MS159,2021,ausopen,MS159,P Cuevas,A Seppi,,,,,,,,,,
59,2021-ausopen-MS160,2021,ausopen,MS160,T Sandgren,A De Minaur,,,,,,,,,,
60,2021-ausopen-MS161,2021,ausopen,MS161,D Evans,C Norrie,,,,,,,,,,
61,2021-ausopen-MS162,2021,ausopen,MS162,I Ivashka,R Safiullin,,,,,,,,,,
62,2021-ausopen-MS163,2021,ausopen,MS163,M Mmoh,V Troicki,,,,,,,,,,
63,2021-ausopen-MS164,2021,ausopen,MS164,L Djere,R Nadal,,,,,,,,,,
64,2021-ausopen-MS201,2021,ausopen,MS201,N Djokovic,F Tiafoe,,,,,,,,,,
65,2021-ausopen-MS202,2021,ausopen,MS202,R Opelka,T Fritz,,,,,,,,,,
66,2021-ausopen-MS203,2021,ausopen,MS203,S Wawrinka,M Fucsovics,,,,,,,,,,
