player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name,,,
100001,Gardnar,Mulloy,R,19131122,USA,185,Q54544,G Mulloy,,,
100002,Pancho,Segura,R,19210620,ECU,168,Q54581,P Segura,,,
100003,Frank,Sedgman,R,19271002,AUS,180,Q962049,F Sedgman,,,
100004,Giuseppe,Merlo,R,19271011,ITA,,Q1258752,G Merlo,,,
100005,Richard,Gonzalez,R,19280509,USA,188,Q53554,R Gonzalez,,,
100006,Grant,Golden,R,19290821,USA,175,Q3115390,G Golden,,,
100007,Abe,Segal,L,19301023,RSA,,Q1258527,A Segal,,,
100008,Kurt,Nielsen,R,19301119,DEN,,Q552261,K Nielsen,,,
100009,Istvan,Gulyas,R,19311014,HUN,,Q51066,I Gulyas,,,
100010,Luis,Ayala,R,19320918,CHI,170,Q1275397,L Ayala,,,
100011,Torben,Ulrich,L,19321004,DEN,180,Q785404,T Ulrich,,,
100012,Nicola,Pietrangeli,R,19330911,ITA,178,Q709909,N Pietrangeli,,,
100013,Neale,Fraser,L,19331003,AUS,185,Q715173,N Fraser,,,
100014,Trevor,Fancutt,R,19340714,RSA,,Q3538577,T Fancutt,,,
100015,Sammy,Giammalva,R,19340801,USA,180,Q963700,S Giammalva,,,
100016,Ken,Rosewall,R,19341102,AUS,175,Q312728,K Rosewall,,,
100017,Mal,Anderson,R,19350303,AUS,,Q963687,M Anderson,,,
100018,Barry,Mackay,R,19350831,USA,190,Q1258939,B Mackay,,,
100019,Wieslaw,Gasiorek,R,19360113,POL,,Q1258736,W Gasiorek,,,
100020,Alejandro,Olmedo,R,19360324,PER,178,Q734544,A Olmedo,,,
100021,Ashley,Cooper,R,19360915,AUS,178,Q712208,A Cooper,,,
100022,Roy,Emerson,R,19361103,AUS,183,Q312545,R Emerson,,,
100023,Ramanathan,Krishnan,R,19370411,IND,,Q1559952,R Krishnan,,,
100024,Jan Erik,Lundquist,R,19370414,SWE,191,Q1341605,J Lundquist,,,
100025,Barry,Phillips Moore,R,19370709,AUS,173,Q1563886,B Phillips Moore,,,
100026,Andres,Gimeno,R,19370803,ESP,185,Q315958,A Gimeno,,,
100027,Gene,Scott,R,19371228,USA,185,Q1282493,G Scott,,,
100028,Manuel,Santana,R,19380510,ESP,170,Q445602,M Santana,,,
100029,Rod,Laver,L,19380809,AUS,173,Q105550,R Laver,,,
100030,Fred,Stolle,R,19381008,AUS,190,Q54671,F Stolle,,,
100031,Dimitri,Sturdza,R,19381110,SUI,,Q20431255,D Sturdza,,,
100032,Patricio,Rodriguez Chi,R,19381220,CHI,188,Q7145979,P Rodriguez Chi,,,
100033,Wilhelm,Bungert,R,19390401,GER,188,Q77579,W Bungert,,,
100034,Christian,Kuhnke,R,19390413,GER,,Q461558,C Kuhnke,,,
100035,Ion,Tiriac,R,19390509,ROU,185,Q924245,I Tiriac,,,
100036,Rudy,Hernando,R,19390610,USA,,,R Hernando,,,
100037,Nikola,Pilic,L,19390827,CRO,191,Q452365,N Pilic,,,
100038,Jaime,Pinto Bravo,R,19391009,CHI,178,Q18390167,J Pinto Bravo,,,
100039,Boro,Jovanovic,R,19391021,CRO,,Q1259703,B Jovanovic,,,
100040,Bob,Hewitt,R,19400112,RSA,190,Q52453,B Hewitt,,,
100041,Ned,Neely,R,19400114,USA,,,N Neely,,,
100042,Ryoichi,Mori,R,19400114,JPN,,,R Mori,,,
100043,Zdenek,Slizek,R,19400219,CZE,,,Z Slizek,,,
100044,Sergei,Likhachev,R,19400320,RUS,,Q3479599,S Likhachev,,,
100045,John,Paish,L,19400323,GBR,,Q13512828,J Paish,,,
100046,Larry,Nagler,R,19400701,USA,,,L Nagler,,,
100047,Bob,Carmichael,R,19400704,AUS,183,Q1565064,B Carmichael,,,
100048,Earl Butch,Buchholz,R,19400916,USA,188,Q195386,E Buchholz,,,
